660nm,730nm,850nm,940nm
46062.000000,22066.000000,55583.000000,54503.000000
46015.000000,22042.000000,55526.000000,54437.000000
45975.000000,22026.000000,55477.000000,54365.000000
45939.000000,22014.000000,55431.000000,54302.000000
45908.000000,22000.000000,55382.000000,54250.000000
45880.000000,21985.000000,55331.000000,54210.000000
45856.000000,21969.000000,55281.000000,54181.000000
45833.000000,21948.000000,55230.000000,54150.000000
45808.000000,21920.000000,55175.000000,54111.000000
45776.000000,21887.000000,55119.000000,54068.000000
45738.000000,21855.000000,55064.000000,54028.000000
45700.000000,21828.000000,55012.000000,53984.000000
45663.000000,21804.000000,54969.000000,53932.000000
45628.000000,21781.000000,54933.000000,53879.000000
45596.000000,21761.000000,54905.000000,53832.000000
45568.000000,21744.000000,54880.000000,53796.000000
45544.000000,21728.000000,54854.000000,53771.000000
45518.000000,21713.000000,54823.000000,53752.000000
45489.000000,21697.000000,54784.000000,53734.000000
45456.000000,21678.000000,54739.000000,53707.000000
45417.000000,21658.000000,54694.000000,53667.000000
45377.000000,21639.000000,54652.000000,53612.000000
45339.000000,21623.000000,54613.000000,53545.000000
45308.000000,21610.000000,54575.000000,53480.000000
45283.000000,21602.000000,54540.000000,53423.000000
45266.000000,21598.000000,54506.000000,53375.000000
45253.000000,21595.000000,54471.000000,53340.000000
45240.000000,21587.000000,54433.000000,53316.000000
45223.000000,21570.000000,54393.000000,53293.000000
45199.000000,21546.000000,54352.000000,53271.000000
45165.000000,21515.000000,54303.000000,53246.000000
45120.000000,21481.000000,54252.000000,53213.000000
45071.000000,21450.000000,54205.000000,53180.000000
45023.000000,21424.000000,54163.000000,53148.000000
44979.000000,21403.000000,54125.000000,53107.000000
44943.000000,21386.000000,54092.000000,53059.000000
44916.000000,21373.000000,54062.000000,53008.000000
44892.000000,21362.000000,54027.000000,52966.000000
44866.000000,21350.000000,53988.000000,52937.000000
44836.000000,21330.000000,53944.000000,52914.000000
44801.000000,21307.000000,53895.000000,52888.000000
44764.000000,21282.000000,53845.000000,52855.000000
44725.000000,21255.000000,53794.000000,52814.000000
44680.000000,21228.000000,53743.000000,52765.000000
44632.000000,21203.000000,53696.000000,52706.000000
44587.000000,21182.000000,53653.000000,52643.000000
44547.000000,21161.000000,53611.000000,52586.000000
44508.000000,21141.000000,53566.000000,52536.000000
44473.000000,21123.000000,53523.000000,52489.000000
44442.000000,21105.000000,53481.000000,52447.000000
44412.000000,21083.000000,53439.000000,52407.000000
44383.000000,21056.000000,53392.000000,52370.000000
44348.000000,21029.000000,53345.000000,52340.000000
44306.000000,21001.000000,53295.000000,52311.000000
44258.000000,20974.000000,53242.000000,52273.000000
44208.000000,20948.000000,53188.000000,52215.000000
44160.000000,20922.000000,53133.000000,52149.000000
44119.000000,20897.000000,53079.000000,52086.000000
44081.000000,20870.000000,53028.000000,52029.000000
44048.000000,20844.000000,52982.000000,51975.000000
44016.000000,20822.000000,52937.000000,51920.000000
43982.000000,20803.000000,52888.000000,51867.000000
43946.000000,20781.000000,52833.000000,51818.000000
43907.000000,20755.000000,52776.000000,51771.000000
43864.000000,20725.000000,52719.000000,51726.000000
43820.000000,20692.000000,52660.000000,51682.000000
43775.000000,20657.000000,52601.000000,51635.000000
43727.000000,20620.000000,52544.000000,51583.000000
43678.000000,20586.000000,52492.000000,51524.000000
43631.000000,20557.000000,52445.000000,51461.000000
43589.000000,20535.000000,52400.000000,51395.000000
43554.000000,20519.000000,52359.000000,51330.000000
43524.000000,20508.000000,52322.000000,51270.000000
