660nm,730nm,850nm,940nm
23360.000000,15099.000000,15842.000000,51862.000000
23386.000000,15069.000000,15876.000000,51918.000000
23397.000000,15099.000000,15913.000000,51903.000000
23430.000000,15136.000000,15936.000000,51926.000000
23452.000000,15128.000000,16022.000000,51932.000000
23455.000000,15183.000000,15995.000000,51942.000000
23495.000000,15242.000000,16073.000000,51982.000000
23544.000000,15216.000000,16079.000000,51973.000000
23548.000000,15236.000000,16118.000000,51974.000000
23589.000000,15243.000000,16134.000000,52003.000000
23654.000000,15297.000000,16179.000000,52045.000000
23661.000000,15305.000000,16206.000000,52065.000000
23690.000000,15323.000000,16219.000000,52098.000000
23776.000000,15378.000000,16282.000000,52080.000000
23781.000000,15378.000000,16301.000000,52144.000000
23818.000000,15407.000000,16369.000000,52143.000000
23899.000000,15437.000000,16431.000000,52177.000000
23896.000000,15444.000000,16477.000000,52202.000000
23982.000000,15484.000000,16494.000000,52188.000000
24031.000000,15527.000000,16506.000000,52226.000000
24033.000000,15551.000000,16547.000000,52289.000000
24091.000000,15560.000000,16606.000000,52296.000000
24100.000000,15556.000000,16607.000000,52279.000000
24099.000000,15618.000000,16636.000000,52295.000000
24138.000000,15599.000000,16641.000000,52298.000000
24123.000000,15622.000000,16651.000000,52296.000000
24140.000000,15621.000000,16647.000000,52298.000000
24113.000000,15612.000000,16658.000000,52311.000000
24120.000000,15640.000000,16645.000000,52308.000000
24147.000000,15624.000000,16640.000000,52266.000000
24130.000000,15630.000000,16627.000000,52330.000000
24140.000000,15610.000000,16641.000000,52299.000000
24105.000000,15628.000000,16590.000000,52269.000000
24087.000000,15601.000000,16579.000000,52276.000000
24073.000000,15598.000000,16569.000000,52273.000000
24081.000000,15601.000000,16587.000000,52278.000000
24077.000000,15555.000000,16559.000000,52245.000000
24013.000000,15544.000000,16541.000000,52265.000000
24000.000000,15538.000000,16549.000000,52251.000000
24018.000000,15542.000000,16513.000000,52230.000000
24014.000000,15543.000000,16517.000000,52217.000000
23996.000000,15510.000000,16466.000000,52216.000000
23958.000000,15504.000000,16512.000000,52240.000000
23992.000000,15489.000000,16446.000000,52200.000000
23984.000000,15507.000000,16443.000000,52235.000000
23970.000000,15479.000000,16488.000000,52189.000000
23979.000000,15488.000000,16430.000000,52201.000000
23900.000000,15454.000000,16452.000000,52192.000000
23918.000000,15452.000000,16416.000000,52176.000000
23916.000000,15417.000000,16428.000000,52169.000000
23910.000000,15452.000000,16408.000000,52154.000000
23920.000000,15445.000000,16351.000000,52144.000000
23913.000000,15456.000000,16373.000000,52194.000000
23892.000000,15422.000000,16371.000000,52177.000000
23906.000000,15436.000000,16361.000000,52159.000000
23832.000000,15404.000000,16354.000000,52136.000000
23879.000000,15404.000000,16324.000000,52123.000000
23883.000000,15414.000000,16339.000000,52129.000000
23827.000000,15401.000000,16307.000000,52114.000000
