660nm,730nm,850nm,940nm
32333.000000,41142.000000,23791.000000,41220.000000
32246.000000,41062.000000,23689.000000,41120.000000
32157.000000,40981.000000,23583.000000,41023.000000
32070.000000,40903.000000,23476.000000,40923.000000
31988.000000,40827.000000,23371.000000,40820.000000
31908.000000,40754.000000,23268.000000,40718.000000
31827.000000,40681.000000,23164.000000,40621.000000
31747.000000,40610.000000,23062.000000,40529.000000
31669.000000,40541.000000,22964.000000,40436.000000
31592.000000,40474.000000,22868.000000,40342.000000
31519.000000,40412.000000,22776.000000,40250.000000
31449.000000,40353.000000,22690.000000,40163.000000
31382.000000,40296.000000,22611.000000,40075.000000
31318.000000,40239.000000,22536.000000,39989.000000
31256.000000,40185.000000,22462.000000,39909.000000
31195.000000,40133.000000,22389.000000,39838.000000
31130.000000,40083.000000,22315.000000,39768.000000
31062.000000,40032.000000,22240.000000,39694.000000
30993.000000,39981.000000,22165.000000,39617.000000
30924.000000,39928.000000,22090.000000,39539.000000
30857.000000,39876.000000,22021.000000,39465.000000
30797.000000,39827.000000,21956.000000,39396.000000
30741.000000,39779.000000,21890.000000,39332.000000
30685.000000,39730.000000,21821.000000,39269.000000
30627.000000,39676.000000,21750.000000,39201.000000
30570.000000,39623.000000,21679.000000,39123.000000
30514.000000,39572.000000,21608.000000,39046.000000
30462.000000,39524.000000,21539.000000,38973.000000
30415.000000,39478.000000,21472.000000,38904.000000
30371.000000,39437.000000,21411.000000,38840.000000
30330.000000,39399.000000,21354.000000,38780.000000
30289.000000,39359.000000,21299.000000,38726.000000
30247.000000,39321.000000,21247.000000,38675.000000
30205.000000,39288.000000,21197.000000,38623.000000
30163.000000,39257.000000,21146.000000,38571.000000
30119.000000,39225.000000,21095.000000,38520.000000
30077.000000,39191.000000,21046.000000,38473.000000
30039.000000,39158.000000,21001.000000,38428.000000
30004.000000,39128.000000,20956.000000,38382.000000
29967.000000,39099.000000,20908.000000,38333.000000
29927.000000,39065.000000,20854.000000,38280.000000
29884.000000,39027.000000,20795.000000,38220.000000
29841.000000,38987.000000,20734.000000,38154.000000
29793.000000,38945.000000,20671.000000,38085.000000
29738.000000,38901.000000,20605.000000,38014.000000
29678.000000,38853.000000,20538.000000,37942.000000
29613.000000,38801.000000,20469.000000,37867.000000
29544.000000,38746.000000,20396.000000,37785.000000
29471.000000,38685.000000,20317.000000,37700.000000
29396.000000,38621.000000,20236.000000,37617.000000
29323.000000,38557.000000,20156.000000,37538.000000
29256.000000,38496.000000,20083.000000,37463.000000
29201.000000,38448.000000,20026.000000,37399.000000
29165.000000,38418.000000,19992.000000,37361.000000
29161.000000,38418.000000,19993.000000,37360.000000
29198.000000,38462.000000,20045.000000,37405.000000
29288.000000,38555.000000,20165.000000,37510.000000
29439.000000,38700.000000,20360.000000,37692.000000
29655.000000,38902.000000,20633.000000,37956.000000
29935.000000,39162.000000,20983.000000,38294.000000
30272.000000,39472.000000,21401.000000,38700.000000
30647.000000,39814.000000,21868.000000,39156.000000
31043.000000,40174.000000,22362.000000,39640.000000
31447.000000,40540.000000,22864.000000,40134.000000
31847.000000,40897.000000,23357.000000,40622.000000
32228.000000,41234.000000,23827.000000,41089.000000
32583.000000,41543.000000,24265.000000,41525.000000
32906.000000,41822.000000,24663.000000,41925.000000
33192.000000,42066.000000,25014.000000,42285.000000
33441.000000,42275.000000,25317.000000,42603.000000
33652.000000,42452.000000,25576.000000,42879.000000
33828.000000,42597.000000,25791.000000,43106.000000
33967.000000,42712.000000,25964.000000,43291.000000
34070.000000,42799.000000,26095.000000,43443.000000
34142.000000,42860.000000,26191.000000,43562.000000
34186.000000,42898.000000,26254.000000,43646.000000
34209.000000,42917.000000,26289.000000,43700.000000
34215.000000,42920.000000,26300.000000,43729.000000
34206.000000,42911.000000,26291.000000,43735.000000
34185.000000,42890.000000,26267.000000,43717.000000
34154.000000,42857.000000,26228.000000,43684.000000
34114.000000,42814.000000,26178.000000,43644.000000
34067.000000,42762.000000,26121.000000,43594.000000
34014.000000,42706.000000,26057.000000,43536.000000
33962.000000,42651.000000,25989.000000,43472.000000
33912.000000,42597.000000,25917.000000,43409.000000
33862.000000,42544.000000,25845.000000,43345.000000
33811.000000,42492.000000,25776.000000,43281.000000
33760.000000,42441.000000,25710.000000,43214.000000
33707.000000,42391.000000,25645.000000,43144.000000
33655.000000,42342.000000,25578.000000,43074.000000
33605.000000,42296.000000,25512.000000,43004.000000
33558.000000,42253.000000,25448.000000,42931.000000
33512.000000,42212.000000,25381.000000,42855.000000
33465.000000,42169.000000,25310.000000,42780.000000
33417.000000,42122.000000,25234.000000,42704.000000
33364.000000,42072.000000,25155.000000,42621.000000
33304.000000,42017.000000,25072.000000,42526.000000
33233.000000,41953.000000,24981.000000,42425.000000
33149.000000,41881.000000,24880.000000,42323.000000
33060.000000,41805.000000,24775.000000,42218.000000
32970.000000,41731.000000,24671.000000,42105.000000
32879.000000,41657.000000,24564.000000,41992.000000
32787.000000,41580.000000,24457.000000,41886.000000
32697.000000,41504.000000,24352.000000,41785.000000
32613.000000,41435.000000,24257.000000,41689.000000
32535.000000,41373.000000,24171.000000,41601.000000
32465.000000,41315.000000,24096.000000,41523.000000
32407.000000,41263.000000,24033.000000,41458.000000
32365.000000,41219.000000,23982.000000,41406.000000
32339.000000,41188.000000,23944.000000,41367.000000
32324.000000,41169.000000,23919.000000,41341.000000
32319.000000,41161.000000,23909.000000,41328.000000
32322.000000,41162.000000,23910.000000,41328.000000
32336.000000,41173.000000,23924.000000,41338.000000
32362.000000,41194.000000,23953.000000,41361.000000
32397.000000,41223.000000,23993.000000,41402.000000
32435.000000,41260.000000,24040.000000,41454.000000
32476.000000,41304.000000,24090.000000,41508.000000
32521.000000,41351.000000,24142.000000,41561.000000
32566.000000,41394.000000,24193.000000,41615.000000
32609.000000,41434.000000,24239.000000,41669.000000
32649.000000,41471.000000,24282.000000,41721.000000
32684.000000,41504.000000,24323.000000,41765.000000
32713.000000,41530.000000,24359.000000,41804.000000
32734.000000,41549.000000,24385.000000,41838.000000
32749.000000,41563.000000,24401.000000,41861.000000
32760.000000,41572.000000,24407.000000,41866.000000
32761.000000,41574.000000,24402.000000,41857.000000
32754.000000,41565.000000,24386.000000,41840.000000
32739.000000,41549.000000,24362.000000,41818.000000
32718.000000,41529.000000,24332.000000,41786.000000
32689.000000,41503.000000,24297.000000,41744.000000
32650.000000,41470.000000,24251.000000,41698.000000
32601.000000,41428.000000,24193.000000,41648.000000
32544.000000,41379.000000,24129.000000,41592.000000
32481.000000,41322.000000,24059.000000,41522.000000
32413.000000,41258.000000,23980.000000,41443.000000
32339.000000,41188.000000,23892.000000,41359.000000
32263.000000,41115.000000,23801.000000,41268.000000
