660nm,730nm,850nm,940nm
38314.000000,14539.000000,32264.000000,42507.000000
38340.000000,14566.000000,32291.000000,42563.000000
38357.000000,14585.000000,32302.000000,42607.000000
38366.000000,14592.000000,32294.000000,42635.000000
38366.000000,14589.000000,32273.000000,42646.000000
38362.000000,14579.000000,32247.000000,42641.000000
38357.000000,14564.000000,32222.000000,42623.000000
38346.000000,14543.000000,32195.000000,42600.000000
38325.000000,14518.000000,32161.000000,42568.000000
38299.000000,14492.000000,32125.000000,42517.000000
38272.000000,14470.000000,32092.000000,42466.000000
38248.000000,14457.000000,32061.000000,42431.000000
38226.000000,14446.000000,32025.000000,42404.000000
38203.000000,14432.000000,31983.000000,42371.000000
38177.000000,14416.000000,31941.000000,42324.000000
38150.000000,14400.000000,31903.000000,42275.000000
38124.000000,14385.000000,31869.000000,42236.000000
38096.000000,14370.000000,31839.000000,42200.000000
38069.000000,14356.000000,31807.000000,42169.000000
38044.000000,14344.000000,31772.000000,42145.000000
38022.000000,14333.000000,31734.000000,42120.000000
38001.000000,14322.000000,31696.000000,42092.000000
37978.000000,14310.000000,31658.000000,42063.000000
37950.000000,14292.000000,31615.000000,42032.000000
37921.000000,14269.000000,31570.000000,41991.000000
37893.000000,14241.000000,31525.000000,41933.000000
37863.000000,14209.000000,31483.000000,41858.000000
37833.000000,14178.000000,31443.000000,41786.000000
37805.000000,14152.000000,31405.000000,41728.000000
37778.000000,14129.000000,31371.000000,41677.000000
37754.000000,14111.000000,31341.000000,41628.000000
37734.000000,14099.000000,31316.000000,41584.000000
37715.000000,14092.000000,31297.000000,41547.000000
37698.000000,14086.000000,31282.000000,41514.000000
37687.000000,14084.000000,31271.000000,41503.000000
37683.000000,14089.000000,31264.000000,41526.000000
37684.000000,14100.000000,31260.000000,41566.000000
37684.000000,14112.000000,31260.000000,41603.000000
37687.000000,14129.000000,31264.000000,41641.000000
37694.000000,14148.000000,31269.000000,41681.000000
37699.000000,14161.000000,31271.000000,41702.000000
37700.000000,14164.000000,31266.000000,41695.000000
37702.000000,14163.000000,31256.000000,41675.000000
37711.000000,14167.000000,31253.000000,41664.000000
37727.000000,14173.000000,31261.000000,41664.000000
37746.000000,14179.000000,31274.000000,41667.000000
37762.000000,14183.000000,31289.000000,41664.000000
37778.000000,14186.000000,31307.000000,41653.000000
37793.000000,14190.000000,31325.000000,41635.000000
37804.000000,14192.000000,31340.000000,41611.000000
37811.000000,14193.000000,31352.000000,41599.000000
37810.000000,14196.000000,31360.000000,41604.000000
37806.000000,14198.000000,31364.000000,41606.000000
37803.000000,14197.000000,31365.000000,41598.000000
37800.000000,14192.000000,31360.000000,41587.000000
37796.000000,14187.000000,31351.000000,41571.000000
37791.000000,14177.000000,31341.000000,41550.000000
37782.000000,14163.000000,31327.000000,41521.000000
37773.000000,14150.000000,31312.000000,41493.000000
37765.000000,14139.000000,31297.000000,41471.000000
37752.000000,14125.000000,31279.000000,41448.000000
37736.000000,14112.000000,31259.000000,41426.000000
37721.000000,14106.000000,31236.000000,41416.000000
37708.000000,14108.000000,31214.000000,41424.000000
37695.000000,14110.000000,31194.000000,41435.000000
37681.000000,14108.000000,31171.000000,41438.000000
37664.000000,14098.000000,31142.000000,41429.000000
37645.000000,14085.000000,31114.000000,41412.000000
37624.000000,14069.000000,31091.000000,41391.000000
37600.000000,14050.000000,31067.000000,41364.000000
37572.000000,14030.000000,31037.000000,41329.000000
37542.000000,14008.000000,31003.000000,41293.000000
37511.000000,13989.000000,30968.000000,41254.000000
37486.000000,13976.000000,30936.000000,41221.000000
37466.000000,13967.000000,30905.000000,41207.000000
37446.000000,13960.000000,30876.000000,41202.000000
37426.000000,13954.000000,30850.000000,41190.000000
37406.000000,13947.000000,30820.000000,41176.000000
37389.000000,13943.000000,30789.000000,41171.000000
37376.000000,13940.000000,30764.000000,41168.000000
37359.000000,13934.000000,30739.000000,41154.000000
37338.000000,13922.000000,30709.000000,41130.000000
37316.000000,13906.000000,30678.000000,41102.000000
37299.000000,13887.000000,30650.000000,41067.000000
37285.000000,13868.000000,30625.000000,41016.000000
37270.000000,13852.000000,30603.000000,40961.000000
37252.000000,13839.000000,30582.000000,40922.000000
37230.000000,13825.000000,30561.000000,40900.000000
