660nm,730nm,850nm,940nm
31397.000000,50931.000000,51155.000000,26431.000000
31342.000000,50888.000000,51137.000000,26435.000000
31348.000000,50884.000000,51142.000000,26402.000000
31379.000000,50860.000000,51111.000000,26444.000000
31291.000000,50893.000000,51107.000000,26438.000000
31351.000000,50865.000000,51090.000000,26447.000000
31312.000000,50865.000000,51104.000000,26446.000000
31271.000000,50821.000000,51107.000000,26427.000000
31308.000000,50803.000000,51080.000000,26434.000000
31250.000000,50775.000000,51061.000000,26438.000000
31273.000000,50790.000000,51077.000000,26398.000000
31287.000000,50759.000000,51077.000000,26404.000000
31238.000000,50789.000000,51103.000000,26417.000000
31243.000000,50749.000000,51053.000000,26403.000000
31203.000000,50759.000000,51036.000000,26404.000000
31195.000000,50735.000000,51053.000000,26422.000000
31204.000000,50718.000000,51032.000000,26402.000000
31189.000000,50698.000000,51032.000000,26418.000000
31182.000000,50712.000000,51013.000000,26395.000000
31178.000000,50690.000000,51018.000000,26425.000000
31177.000000,50743.000000,51008.000000,26402.000000
31171.000000,50660.000000,50984.000000,26405.000000
31143.000000,50640.000000,51012.000000,26366.000000
31148.000000,50667.000000,50974.000000,26403.000000
31167.000000,50604.000000,50990.000000,26388.000000
31110.000000,50623.000000,50966.000000,26371.000000
31106.000000,50613.000000,50964.000000,26391.000000
31112.000000,50597.000000,50968.000000,26367.000000
31074.000000,50607.000000,50962.000000,26364.000000
31143.000000,50584.000000,50954.000000,26380.000000
31093.000000,50567.000000,50949.000000,26365.000000
31062.000000,50598.000000,50914.000000,26365.000000
31074.000000,50586.000000,50932.000000,26367.000000
31067.000000,50603.000000,50958.000000,26369.000000
31087.000000,50565.000000,50952.000000,26356.000000
31023.000000,50545.000000,50951.000000,26349.000000
31051.000000,50577.000000,50926.000000,26378.000000
31057.000000,50540.000000,50919.000000,26374.000000
31045.000000,50562.000000,50962.000000,26381.000000
31092.000000,50598.000000,50930.000000,26370.000000
31099.000000,50590.000000,50931.000000,26380.000000
31112.000000,50623.000000,50943.000000,26350.000000
31141.000000,50636.000000,50959.000000,26358.000000
31125.000000,50645.000000,50958.000000,26382.000000
31164.000000,50618.000000,50964.000000,26393.000000
31159.000000,50649.000000,50996.000000,26356.000000
31185.000000,50645.000000,50986.000000,26388.000000
31199.000000,50694.000000,51016.000000,26417.000000
31183.000000,50702.000000,51017.000000,26407.000000
31212.000000,50701.000000,51007.000000,26390.000000
31222.000000,50697.000000,51031.000000,26406.000000
31249.000000,50756.000000,51053.000000,26394.000000
31298.000000,50770.000000,51066.000000,26399.000000
31271.000000,50787.000000,51095.000000,26409.000000
31308.000000,50797.000000,51095.000000,26427.000000
31324.000000,50794.000000,51112.000000,26431.000000
31349.000000,50862.000000,51078.000000,26424.000000
31402.000000,50915.000000,51118.000000,26435.000000
31406.000000,50913.000000,51150.000000,26464.000000
31429.000000,50930.000000,51174.000000,26441.000000
31529.000000,51024.000000,51213.000000,26497.000000
31553.000000,51034.000000,51155.000000,26498.000000
31536.000000,51021.000000,51262.000000,26491.000000
31584.000000,51080.000000,51223.000000,26516.000000
31596.000000,51073.000000,51254.000000,26526.000000
31645.000000,51107.000000,51270.000000,26504.000000
31608.000000,51101.000000,51262.000000,26532.000000
31617.000000,51156.000000,51285.000000,26525.000000
31634.000000,51108.000000,51289.000000,26536.000000
31598.000000,51094.000000,51265.000000,26529.000000
31582.000000,51120.000000,51262.000000,26494.000000
31624.000000,51128.000000,51273.000000,26538.000000
31583.000000,51167.000000,51270.000000,26537.000000
31606.000000,51131.000000,51218.000000,26519.000000
31566.000000,51090.000000,51250.000000,26516.000000
31590.000000,51088.000000,51246.000000,26516.000000
31539.000000,51060.000000,51206.000000,26497.000000
31543.000000,51050.000000,51256.000000,26514.000000
31554.000000,51035.000000,51209.000000,26496.000000
31503.000000,51044.000000,51234.000000,26519.000000
31503.000000,51002.000000,51199.000000,26510.000000
31474.000000,51024.000000,51172.000000,26506.000000
31468.000000,50970.000000,51160.000000,26508.000000
31461.000000,50949.000000,51181.000000,26479.000000
31488.000000,50957.000000,51181.000000,26489.000000
31446.000000,50921.000000,51152.000000,26483.000000
31419.000000,50920.000000,51159.000000,26479.000000
31392.000000,50961.000000,51149.000000,26457.000000
31432.000000,50909.000000,51142.000000,26474.000000
31426.000000,50907.000000,51164.000000,26447.000000
31405.000000,50923.000000,51110.000000,26432.000000
31382.000000,50886.000000,51109.000000,26455.000000
31332.000000,50858.000000,51144.000000,26427.000000
31369.000000,50855.000000,51092.000000,26431.000000
31328.000000,50816.000000,51114.000000,26443.000000
31315.000000,50824.000000,51120.000000,26427.000000
31337.000000,50805.000000,51093.000000,26413.000000
31294.000000,50765.000000,51091.000000,26436.000000
31282.000000,50772.000000,51070.000000,26437.000000
31279.000000,50759.000000,51058.000000,26423.000000
31279.000000,50696.000000,51047.000000,26433.000000
31235.000000,50723.000000,51040.000000,26437.000000
31256.000000,50733.000000,51011.000000,26414.000000
31217.000000,50713.000000,51039.000000,26430.000000
31222.000000,50711.000000,51044.000000,26417.000000
31191.000000,50697.000000,51012.000000,26419.000000
31199.000000,50695.000000,50988.000000,26434.000000
31196.000000,50652.000000,50963.000000,26410.000000
31191.000000,50642.000000,50998.000000,26396.000000
31173.000000,50672.000000,50981.000000,26386.000000
31175.000000,50658.000000,50984.000000,26410.000000
31146.000000,50612.000000,50976.000000,26404.000000
31116.000000,50611.000000,50948.000000,26406.000000
31124.000000,50560.000000,50961.000000,26389.000000
31112.000000,50568.000000,50957.000000,26394.000000
31127.000000,50566.000000,50918.000000,26388.000000
31076.000000,50541.000000,50923.000000,26362.000000
31102.000000,50555.000000,50938.000000,26374.000000
31091.000000,50564.000000,50925.000000,26393.000000
31026.000000,50535.000000,50927.000000,26356.000000
31073.000000,50513.000000,50906.000000,26381.000000
31050.000000,50508.000000,50884.000000,26361.000000
31063.000000,50514.000000,50919.000000,26376.000000
31057.000000,50493.000000,50883.000000,26371.000000
31034.000000,50456.000000,50886.000000,26378.000000
31008.000000,50501.000000,50890.000000,26368.000000
30997.000000,50440.000000,50883.000000,26363.000000
30998.000000,50447.000000,50887.000000,26352.000000
30993.000000,50446.000000,50869.000000,26347.000000
30999.000000,50420.000000,50856.000000,26361.000000
30991.000000,50420.000000,50881.000000,26352.000000
31008.000000,50446.000000,50852.000000,26336.000000
30945.000000,50425.000000,50845.000000,26347.000000
30970.000000,50437.000000,50858.000000,26340.000000
30952.000000,50386.000000,50837.000000,26363.000000
30932.000000,50373.000000,50818.000000,26357.000000
30889.000000,50390.000000,50801.000000,26331.000000
30951.000000,50339.000000,50825.000000,26335.000000
30919.000000,50359.000000,50819.000000,26339.000000
30916.000000,50346.000000,50822.000000,26321.000000
30919.000000,50347.000000,50811.000000,26325.000000
30916.000000,50360.000000,50814.000000,26312.000000
30925.000000,50363.000000,50819.000000,26340.000000
30911.000000,50386.000000,50807.000000,26343.000000
30940.000000,50365.000000,50830.000000,26337.000000
30939.000000,50358.000000,50823.000000,26332.000000
30954.000000,50361.000000,50858.000000,26326.000000
30970.000000,50391.000000,50831.000000,26345.000000
31013.000000,50399.000000,50830.000000,26356.000000
30980.000000,50431.000000,50841.000000,26347.000000
31018.000000,50443.000000,50880.000000,26353.000000
31006.000000,50473.000000,50897.000000,26338.000000
31046.000000,50504.000000,50882.000000,26359.000000
31052.000000,50480.000000,50898.000000,26369.000000
31078.000000,50502.000000,50900.000000,26355.000000
31090.000000,50532.000000,50930.000000,26379.000000
31132.000000,50570.000000,50927.000000,26359.000000
31107.000000,50579.000000,50944.000000,26361.000000
31133.000000,50569.000000,50930.000000,26355.000000
31202.000000,50659.000000,50965.000000,26409.000000
31181.000000,50664.000000,50996.000000,26394.000000
31230.000000,50651.000000,51013.000000,26408.000000
31215.000000,50682.000000,51011.000000,26395.000000
31290.000000,50719.000000,51021.000000,26424.000000
31289.000000,50734.000000,51031.000000,26418.000000
31300.000000,50749.000000,51060.000000,26421.000000
31327.000000,50791.000000,51046.000000,26442.000000
31327.000000,50807.000000,51064.000000,26431.000000
31389.000000,50796.000000,51084.000000,26455.000000
31366.000000,50851.000000,51110.000000,26455.000000
31401.000000,50885.000000,51111.000000,26460.000000
31475.000000,50953.000000,51150.000000,26479.000000
31491.000000,50960.000000,51197.000000,26487.000000
31506.000000,50995.000000,51174.000000,26501.000000
31581.000000,51034.000000,51198.000000,26517.000000
31548.000000,51018.000000,51215.000000,26519.000000
31587.000000,51060.000000,51191.000000,26511.000000
31585.000000,51034.000000,51195.000000,26540.000000
31570.000000,50998.000000,51213.000000,26536.000000
31553.000000,51011.000000,51212.000000,26494.000000
31512.000000,51041.000000,51195.000000,26501.000000
31524.000000,51028.000000,51176.000000,26496.000000
31524.000000,51029.000000,51186.000000,26491.000000
31487.000000,51000.000000,51215.000000,26490.000000
31491.000000,51008.000000,51183.000000,26502.000000
31479.000000,50965.000000,51199.000000,26487.000000
31494.000000,50964.000000,51152.000000,26463.000000
31486.000000,50969.000000,51223.000000,26502.000000
31471.000000,50950.000000,51165.000000,26471.000000
31481.000000,50945.000000,51144.000000,26456.000000
31427.000000,50948.000000,51154.000000,26482.000000
31444.000000,50941.000000,51156.000000,26465.000000
31441.000000,50900.000000,51124.000000,26481.000000
31402.000000,50896.000000,51153.000000,26484.000000
31407.000000,50927.000000,51123.000000,26466.000000
31400.000000,50890.000000,51126.000000,26466.000000
31367.000000,50908.000000,51133.000000,26453.000000
31421.000000,50881.000000,51127.000000,26464.000000
31364.000000,50853.000000,51114.000000,26429.000000
31396.000000,50886.000000,51094.000000,26444.000000
31367.000000,50832.000000,51104.000000,26468.000000
31337.000000,50840.000000,51099.000000,26413.000000
31323.000000,50849.000000,51089.000000,26437.000000
31327.000000,50830.000000,51090.000000,26426.000000
31301.000000,50821.000000,51048.000000,26445.000000
31295.000000,50805.000000,51078.000000,26448.000000
31324.000000,50806.000000,51058.000000,26440.000000
31294.000000,50812.000000,51082.000000,26426.000000
31311.000000,50773.000000,51042.000000,26423.000000
31264.000000,50737.000000,51045.000000,26404.000000
31281.000000,50733.000000,51020.000000,26434.000000
31240.000000,50734.000000,51042.000000,26424.000000
31253.000000,50728.000000,51020.000000,26422.000000
31212.000000,50734.000000,51028.000000,26418.000000
31194.000000,50716.000000,51013.000000,26406.000000
31226.000000,50698.000000,50975.000000,26405.000000
31199.000000,50717.000000,51017.000000,26420.000000
31198.000000,50659.000000,50981.000000,26381.000000
31170.000000,50677.000000,51006.000000,26407.000000
31158.000000,50673.000000,50971.000000,26381.000000
31144.000000,50599.000000,50975.000000,26376.000000
31140.000000,50648.000000,50988.000000,26359.000000
31148.000000,50643.000000,50950.000000,26347.000000
31106.000000,50619.000000,50954.000000,26360.000000
31102.000000,50603.000000,50971.000000,26368.000000
31105.000000,50605.000000,50946.000000,26378.000000
31083.000000,50593.000000,50932.000000,26372.000000
31079.000000,50600.000000,50926.000000,26368.000000
31095.000000,50575.000000,50949.000000,26377.000000
31076.000000,50592.000000,50945.000000,26367.000000
31107.000000,50561.000000,50906.000000,26336.000000
31024.000000,50582.000000,50942.000000,26349.000000
31072.000000,50592.000000,50914.000000,26345.000000
31069.000000,50542.000000,50905.000000,26363.000000
31015.000000,50551.000000,50943.000000,26351.000000
31053.000000,50548.000000,50931.000000,26339.000000
31024.000000,50547.000000,50928.000000,26359.000000
31030.000000,50553.000000,50922.000000,26328.000000
31041.000000,50530.000000,50911.000000,26346.000000
31004.000000,50538.000000,50915.000000,26312.000000
31029.000000,50527.000000,50914.000000,26331.000000
31006.000000,50520.000000,50887.000000,26307.000000
30998.000000,50519.000000,50909.000000,26298.000000
30990.000000,50501.000000,50884.000000,26319.000000
30963.000000,50466.000000,50889.000000,26307.000000
30941.000000,50472.000000,50884.000000,26297.000000
30918.000000,50452.000000,50850.000000,26276.000000
30956.000000,50470.000000,50876.000000,26332.000000
30928.000000,50476.000000,50892.000000,26304.000000
30927.000000,50465.000000,50870.000000,26316.000000
30961.000000,50414.000000,50851.000000,26294.000000
30951.000000,50430.000000,50870.000000,26291.000000
30954.000000,50430.000000,50857.000000,26302.000000
30953.000000,50429.000000,50855.000000,26311.000000
30963.000000,50460.000000,50889.000000,26289.000000
30978.000000,50489.000000,50860.000000,26293.000000
30984.000000,50470.000000,50878.000000,26331.000000
30976.000000,50498.000000,50866.000000,26295.000000
31005.000000,50519.000000,50883.000000,26317.000000
30994.000000,50486.000000,50935.000000,26342.000000
31006.000000,50546.000000,50898.000000,26312.000000
31029.000000,50539.000000,50920.000000,26328.000000
31051.000000,50559.000000,50920.000000,26319.000000
31084.000000,50616.000000,50941.000000,26332.000000
31116.000000,50614.000000,50948.000000,26330.000000
31158.000000,50665.000000,51005.000000,26368.000000
31181.000000,50705.000000,50998.000000,26353.000000
31176.000000,50697.000000,51009.000000,26370.000000
31194.000000,50741.000000,51003.000000,26368.000000
31261.000000,50749.000000,51036.000000,26387.000000
31231.000000,50767.000000,51027.000000,26374.000000
31305.000000,50768.000000,51054.000000,26390.000000
31292.000000,50811.000000,51083.000000,26409.000000
31297.000000,50823.000000,51056.000000,26370.000000
31359.000000,50834.000000,51090.000000,26391.000000
31334.000000,50846.000000,51114.000000,26395.000000
31397.000000,50930.000000,51132.000000,26430.000000
31450.000000,50929.000000,51155.000000,26443.000000
31443.000000,50974.000000,51157.000000,26431.000000
31489.000000,50982.000000,51171.000000,26444.000000
31530.000000,51031.000000,51256.000000,26485.000000
31548.000000,51116.000000,51252.000000,26481.000000
31569.000000,51103.000000,51251.000000,26481.000000
31550.000000,51090.000000,51247.000000,26453.000000
31576.000000,51132.000000,51257.000000,26484.000000
31561.000000,51109.000000,51271.000000,26474.000000
31558.000000,51069.000000,51240.000000,26473.000000
31544.000000,51110.000000,51240.000000,26477.000000
31542.000000,51078.000000,51240.000000,26467.000000
31510.000000,51099.000000,51254.000000,26483.000000
31526.000000,51040.000000,51232.000000,26475.000000
31498.000000,51061.000000,51243.000000,26465.000000
31489.000000,51045.000000,51191.000000,26463.000000
31509.000000,51056.000000,51182.000000,26458.000000
31446.000000,51031.000000,51225.000000,26460.000000
31485.000000,50982.000000,51184.000000,26453.000000
31464.000000,51020.000000,51221.000000,26450.000000
31472.000000,51005.000000,51224.000000,26411.000000
31442.000000,51005.000000,51168.000000,26456.000000
31411.000000,50994.000000,51174.000000,26409.000000
31465.000000,50961.000000,51161.000000,26449.000000
31426.000000,50981.000000,51165.000000,26427.000000
31388.000000,50989.000000,51172.000000,26447.000000
31432.000000,50943.000000,51156.000000,26450.000000
31380.000000,50937.000000,51170.000000,26416.000000
31369.000000,50923.000000,51159.000000,26451.000000
31384.000000,50932.000000,51155.000000,26450.000000
31354.000000,50899.000000,51132.000000,26411.000000
31382.000000,50870.000000,51115.000000,26399.000000
31360.000000,50874.000000,51099.000000,26421.000000
31337.000000,50862.000000,51133.000000,26404.000000
31332.000000,50873.000000,51099.000000,26421.000000
31292.000000,50888.000000,51129.000000,26405.000000
31341.000000,50885.000000,51101.000000,26391.000000
31316.000000,50855.000000,51088.000000,26386.000000
31270.000000,50828.000000,51091.000000,26378.000000
31284.000000,50823.000000,51055.000000,26398.000000
31294.000000,50807.000000,51062.000000,26404.000000
31224.000000,50746.000000,51064.000000,26380.000000
31269.000000,50752.000000,51053.000000,26390.000000
31239.000000,50769.000000,51093.000000,26386.000000
31278.000000,50784.000000,51062.000000,26384.000000
31233.000000,50764.000000,51027.000000,26378.000000
31215.000000,50764.000000,51039.000000,26381.000000
31210.000000,50736.000000,51036.000000,26380.000000
31183.000000,50691.000000,51021.000000,26383.000000
31172.000000,50743.000000,51016.000000,26381.000000
