660nm,730nm,850nm,940nm
58272.000000,30958.000000,46993.000000,57342.000000
58355.000000,31039.000000,47149.000000,57469.000000
58413.000000,31102.000000,47270.000000,57564.000000
58467.000000,31156.000000,47352.000000,57629.000000
58501.000000,31192.000000,47408.000000,57681.000000
58500.000000,31202.000000,47443.000000,57721.000000
58490.000000,31202.000000,47456.000000,57736.000000
58488.000000,31203.000000,47451.000000,57729.000000
58472.000000,31195.000000,47438.000000,57714.000000
58432.000000,31169.000000,47418.000000,57693.000000
58393.000000,31139.000000,47381.000000,57658.000000
58372.000000,31115.000000,47333.000000,57621.000000
58350.000000,31087.000000,47285.000000,57593.000000
58315.000000,31050.000000,47239.000000,57568.000000
58295.000000,31021.000000,47186.000000,57536.000000
58296.000000,31006.000000,47135.000000,57505.000000
58291.000000,30989.000000,47096.000000,57482.000000
58273.000000,30963.000000,47066.000000,57459.000000
58264.000000,30949.000000,47034.000000,57432.000000
58273.000000,30949.000000,47004.000000,57406.000000
58276.000000,30946.000000,46985.000000,57384.000000
58270.000000,30935.000000,46973.000000,57353.000000
58277.000000,30928.000000,46957.000000,57306.000000
58291.000000,30924.000000,46937.000000,57252.000000
58281.000000,30909.000000,46922.000000,57205.000000
58253.000000,30884.000000,46905.000000,57158.000000
58235.000000,30866.000000,46876.000000,57102.000000
58224.000000,30851.000000,46838.000000,57046.000000
58190.000000,30822.000000,46798.000000,57000.000000
58141.000000,30783.000000,46748.000000,56962.000000
58107.000000,30751.000000,46683.000000,56927.000000
58083.000000,30728.000000,46617.000000,56899.000000
58038.000000,30697.000000,46554.000000,56883.000000
57985.000000,30658.000000,46491.000000,56868.000000
57952.000000,30624.000000,46426.000000,56847.000000
57928.000000,30594.000000,46369.000000,56826.000000
57891.000000,30556.000000,46323.000000,56808.000000
57852.000000,30523.000000,46280.000000,56778.000000
57839.000000,30509.000000,46239.000000,56735.000000
57842.000000,30506.000000,46211.000000,56696.000000
57837.000000,30497.000000,46199.000000,56660.000000
57837.000000,30491.000000,46192.000000,56616.000000
57861.000000,30498.000000,46186.000000,56566.000000
57888.000000,30512.000000,46189.000000,56530.000000
57901.000000,30523.000000,46199.000000,56512.000000
57915.000000,30536.000000,46209.000000,56497.000000
57944.000000,30557.000000,46217.000000,56482.000000
57968.000000,30573.000000,46235.000000,56479.000000
57970.000000,30578.000000,46255.000000,56494.000000
57972.000000,30582.000000,46268.000000,56513.000000
57987.000000,30592.000000,46273.000000,56530.000000
57994.000000,30595.000000,46280.000000,56549.000000
57979.000000,30583.000000,46290.000000,56568.000000
57968.000000,30575.000000,46292.000000,56583.000000
57974.000000,30579.000000,46285.000000,56603.000000
57976.000000,30580.000000,46279.000000,56633.000000
57963.000000,30571.000000,46272.000000,56660.000000
57956.000000,30565.000000,46253.000000,56669.000000
57959.000000,30566.000000,46227.000000,56668.000000
57947.000000,30560.000000,46208.000000,56663.000000
57918.000000,30543.000000,46188.000000,56648.000000
57899.000000,30532.000000,46159.000000,56617.000000
57892.000000,30528.000000,46127.000000,56576.000000
57871.000000,30517.000000,46101.000000,56534.000000
57836.000000,30497.000000,46074.000000,56487.000000
57811.000000,30482.000000,46040.000000,56431.000000
57799.000000,30471.000000,46006.000000,56374.000000
57774.000000,30450.000000,45973.000000,56325.000000
57737.000000,30418.000000,45932.000000,56273.000000
57715.000000,30389.000000,45876.000000,56210.000000
57701.000000,30361.000000,45817.000000,56147.000000
57665.000000,30322.000000,45764.000000,56088.000000
57617.000000,30278.000000,45709.000000,56026.000000
57583.000000,30244.000000,45645.000000,55957.000000
57558.000000,30216.000000,45582.000000,55893.000000
57518.000000,30181.000000,45529.000000,55836.000000
57473.000000,30144.000000,45479.000000,55776.000000
57449.000000,30121.000000,45428.000000,55708.000000
57432.000000,30099.000000,45380.000000,55643.000000
57391.000000,30063.000000,45336.000000,55581.000000
57343.000000,30023.000000,45286.000000,55521.000000
57316.000000,29989.000000,45226.000000,55470.000000
57298.000000,29955.000000,45163.000000,55433.000000
57266.000000,29913.000000,45100.000000,55407.000000
57236.000000,29872.000000,45032.000000,55380.000000
57225.000000,29842.000000,44960.000000,55349.000000
57213.000000,29813.000000,44897.000000,55325.000000
57182.000000,29775.000000,44843.000000,55302.000000
57156.000000,29745.000000,44792.000000,55269.000000
57152.000000,29730.000000,44742.000000,55228.000000
57144.000000,29717.000000,44701.000000,55195.000000
57118.000000,29695.000000,44671.000000,55169.000000
57095.000000,29675.000000,44638.000000,55142.000000
57089.000000,29662.000000,44602.000000,55110.000000
57082.000000,29648.000000,44573.000000,55079.000000
57060.000000,29626.000000,44549.000000,55047.000000
57044.000000,29609.000000,44521.000000,55004.000000
57044.000000,29601.000000,44490.000000,54959.000000
57034.000000,29589.000000,44463.000000,54924.000000
57007.000000,29571.000000,44440.000000,54892.000000
56993.000000,29559.000000,44412.000000,54849.000000
56996.000000,29554.000000,44384.000000,54794.000000
56989.000000,29541.000000,44361.000000,54738.000000
56965.000000,29519.000000,44339.000000,54676.000000
56954.000000,29504.000000,44314.000000,54605.000000
56959.000000,29498.000000,44288.000000,54538.000000
56947.000000,29479.000000,44262.000000,54480.000000
56916.000000,29447.000000,44231.000000,54424.000000
56898.000000,29418.000000,44190.000000,54365.000000
56891.000000,29394.000000,44150.000000,54312.000000
56868.000000,29365.000000,44122.000000,54270.000000
56833.000000,29329.000000,44094.000000,54230.000000
56809.000000,29303.000000,44057.000000,54190.000000
56796.000000,29287.000000,44020.000000,54162.000000
56769.000000,29266.000000,43989.000000,54149.000000
56735.000000,29243.000000,43954.000000,54140.000000
56719.000000,29231.000000,43910.000000,54127.000000
56718.000000,29224.000000,43869.000000,54114.000000
56702.000000,29209.000000,43839.000000,54102.000000
56681.000000,29193.000000,43809.000000,54084.000000
56676.000000,29186.000000,43777.000000,54058.000000
56679.000000,29180.000000,43751.000000,54042.000000
56671.000000,29162.000000,43732.000000,54034.000000
56664.000000,29142.000000,43707.000000,54020.000000
56676.000000,29136.000000,43678.000000,53997.000000
56689.000000,29130.000000,43651.000000,53973.000000
56680.000000,29113.000000,43623.000000,53946.000000
56665.000000,29095.000000,43587.000000,53904.000000
56663.000000,29084.000000,43543.000000,53849.000000
56656.000000,29066.000000,43503.000000,53792.000000
56627.000000,29034.000000,43468.000000,53736.000000
56597.000000,28997.000000,43424.000000,53668.000000
56583.000000,28970.000000,43372.000000,53597.000000
56560.000000,28940.000000,43322.000000,53539.000000
56515.000000,28901.000000,43278.000000,53491.000000
56474.000000,28871.000000,43240.000000,53446.000000
56461.000000,28864.000000,43216.000000,53411.000000
56459.000000,28869.000000,43222.000000,53407.000000
56460.000000,28885.000000,43261.000000,53446.000000
56491.000000,28931.000000,43331.000000,53523.000000
56563.000000,29011.000000,43440.000000,53640.000000
56653.000000,29111.000000,43598.000000,53800.000000
56752.000000,29225.000000,43797.000000,53993.000000
56886.000000,29365.000000,44025.000000,54209.000000
57055.000000,29532.000000,44281.000000,54457.000000
57228.000000,29708.000000,44564.000000,54741.000000
57399.000000,29886.000000,44863.000000,55043.000000
57589.000000,30077.000000,45162.000000,55345.000000
57796.000000,30283.000000,45461.000000,55651.000000
57988.000000,30484.000000,45764.000000,55963.000000
58164.000000,30672.000000,46061.000000,56259.000000
58354.000000,30862.000000,46341.000000,56524.000000
58548.000000,31049.000000,46608.000000,56769.000000
58709.000000,31209.000000,46860.000000,57005.000000
58837.000000,31345.000000,47084.000000,57219.000000
58964.000000,31475.000000,47270.000000,57399.000000
59084.000000,31594.000000,47430.000000,57557.000000
59170.000000,31683.000000,47568.000000,57687.000000
59224.000000,31746.000000,47674.000000,57767.000000
59275.000000,31801.000000,47743.000000,57802.000000
59314.000000,31841.000000,47788.000000,57826.000000
59316.000000,31851.000000,47816.000000,57847.000000
59297.000000,31839.000000,47818.000000,57848.000000
59285.000000,31824.000000,47796.000000,57824.000000
59264.000000,31800.000000,47760.000000,57790.000000
59214.000000,31753.000000,47714.000000,57751.000000
59157.000000,31697.000000,47648.000000,57694.000000
59120.000000,31649.000000,47568.000000,57627.000000
59089.000000,31604.000000,47494.000000,57569.000000
59043.000000,31554.000000,47430.000000,57526.000000
59002.000000,31510.000000,47364.000000,57484.000000
58989.000000,31479.000000,47297.000000,57437.000000
58978.000000,31449.000000,47239.000000,57398.000000
58949.000000,31410.000000,47189.000000,57368.000000
58927.000000,31374.000000,47136.000000,57333.000000
58931.000000,31351.000000,47080.000000,57295.000000
58934.000000,31328.000000,47035.000000,57265.000000
58920.000000,31297.000000,46998.000000,57237.000000
58907.000000,31272.000000,46955.000000,57202.000000
58905.000000,31259.000000,46909.000000,57166.000000
58891.000000,31242.000000,46872.000000,57138.000000
58857.000000,31213.000000,46839.000000,57099.000000
58834.000000,31189.000000,46797.000000,57035.000000
58828.000000,31173.000000,46749.000000,56962.000000
58809.000000,31146.000000,46707.000000,56897.000000
58772.000000,31107.000000,46663.000000,56832.000000
58747.000000,31076.000000,46606.000000,56755.000000
58737.000000,31052.000000,46545.000000,56676.000000
58707.000000,31021.000000,46493.000000,56615.000000
58659.000000,30983.000000,46445.000000,56562.000000
58631.000000,30957.000000,46394.000000,56509.000000
58621.000000,30943.000000,46348.000000,56466.000000
58598.000000,30922.000000,46315.000000,56438.000000
58567.000000,30899.000000,46290.000000,56413.000000
58562.000000,30892.000000,46266.000000,56380.000000
58573.000000,30893.000000,46251.000000,56354.000000
58565.000000,30883.000000,46249.000000,56343.000000
58543.000000,30867.000000,46250.000000,56338.000000
58542.000000,30864.000000,46252.000000,56331.000000
58560.000000,30870.000000,46259.000000,56334.000000
58560.000000,30866.000000,46273.000000,56351.000000
58547.000000,30858.000000,46280.000000,56371.000000
58553.000000,30862.000000,46281.000000,56391.000000
58573.000000,30875.000000,46288.000000,56422.000000
58584.000000,30882.000000,46305.000000,56464.000000
58600.000000,30887.000000,46316.000000,56495.000000
58644.000000,30904.000000,46316.000000,56509.000000
58694.000000,30923.000000,46318.000000,56518.000000
