660nm,730nm,850nm,940nm
26378.000000,51932.000000,51444.000000,28374.000000
26397.000000,51932.000000,51473.000000,28338.000000
26371.000000,51916.000000,51465.000000,28333.000000
26297.000000,51854.000000,51401.000000,28351.000000
26274.000000,51816.000000,51410.000000,28348.000000
26280.000000,51782.000000,51411.000000,28339.000000
26258.000000,51789.000000,51417.000000,28342.000000
26192.000000,51736.000000,51376.000000,28316.000000
26188.000000,51728.000000,51339.000000,28319.000000
26177.000000,51712.000000,51342.000000,28334.000000
26131.000000,51658.000000,51277.000000,28302.000000
26103.000000,51628.000000,51264.000000,28274.000000
26108.000000,51594.000000,51280.000000,28289.000000
26119.000000,51607.000000,51266.000000,28271.000000
26066.000000,51582.000000,51254.000000,28300.000000
26036.000000,51506.000000,51225.000000,28286.000000
26045.000000,51498.000000,51234.000000,28272.000000
25982.000000,51455.000000,51189.000000,28289.000000
25929.000000,51402.000000,51199.000000,28261.000000
25923.000000,51422.000000,51155.000000,28266.000000
25912.000000,51398.000000,51160.000000,28218.000000
25886.000000,51330.000000,51103.000000,28231.000000
25837.000000,51303.000000,51081.000000,28227.000000
25844.000000,51278.000000,51068.000000,28214.000000
25793.000000,51260.000000,51090.000000,28238.000000
25807.000000,51251.000000,51060.000000,28202.000000
25767.000000,51266.000000,51064.000000,28236.000000
25767.000000,51213.000000,51036.000000,28222.000000
25759.000000,51213.000000,51041.000000,28224.000000
25717.000000,51126.000000,50992.000000,28201.000000
25664.000000,51103.000000,50965.000000,28214.000000
25657.000000,51094.000000,50959.000000,28212.000000
25668.000000,51089.000000,50967.000000,28185.000000
25612.000000,51009.000000,50946.000000,28179.000000
25611.000000,50990.000000,50911.000000,28204.000000
25565.000000,50994.000000,50889.000000,28185.000000
25566.000000,50979.000000,50881.000000,28152.000000
25553.000000,50962.000000,50893.000000,28174.000000
25496.000000,50882.000000,50857.000000,28166.000000
25516.000000,50851.000000,50833.000000,28179.000000
25432.000000,50873.000000,50848.000000,28148.000000
25458.000000,50845.000000,50837.000000,28187.000000
25441.000000,50798.000000,50792.000000,28153.000000
25378.000000,50822.000000,50818.000000,28126.000000
25423.000000,50784.000000,50772.000000,28152.000000
25401.000000,50740.000000,50796.000000,28132.000000
25386.000000,50786.000000,50765.000000,28132.000000
25375.000000,50761.000000,50764.000000,28104.000000
25342.000000,50684.000000,50754.000000,28161.000000
25365.000000,50691.000000,50754.000000,28124.000000
25328.000000,50710.000000,50759.000000,28098.000000
25327.000000,50644.000000,50726.000000,28128.000000
25316.000000,50637.000000,50721.000000,28136.000000
25294.000000,50645.000000,50691.000000,28140.000000
25295.000000,50658.000000,50683.000000,28120.000000
25282.000000,50636.000000,50726.000000,28127.000000
25315.000000,50641.000000,50713.000000,28102.000000
25273.000000,50612.000000,50734.000000,28113.000000
25326.000000,50625.000000,50693.000000,28136.000000
25267.000000,50621.000000,50699.000000,28111.000000
25258.000000,50608.000000,50700.000000,28121.000000
25254.000000,50611.000000,50669.000000,28125.000000
25226.000000,50606.000000,50668.000000,28108.000000
25217.000000,50507.000000,50629.000000,28120.000000
25196.000000,50521.000000,50660.000000,28113.000000
25197.000000,50500.000000,50632.000000,28111.000000
25139.000000,50512.000000,50599.000000,28098.000000
25130.000000,50487.000000,50595.000000,28086.000000
25152.000000,50428.000000,50604.000000,28092.000000
25111.000000,50468.000000,50598.000000,28084.000000
25121.000000,50452.000000,50587.000000,28099.000000
25158.000000,50442.000000,50599.000000,28091.000000
25098.000000,50472.000000,50590.000000,28108.000000
25158.000000,50452.000000,50607.000000,28092.000000
25168.000000,50521.000000,50607.000000,28089.000000
25188.000000,50508.000000,50649.000000,28112.000000
25230.000000,50519.000000,50624.000000,28110.000000
25247.000000,50571.000000,50685.000000,28098.000000
25283.000000,50580.000000,50643.000000,28110.000000
25300.000000,50672.000000,50682.000000,28161.000000
25342.000000,50688.000000,50723.000000,28158.000000
25369.000000,50712.000000,50725.000000,28144.000000
25395.000000,50718.000000,50755.000000,28172.000000
25412.000000,50763.000000,50770.000000,28159.000000
25449.000000,50827.000000,50829.000000,28164.000000
25496.000000,50837.000000,50818.000000,28168.000000
25650.000000,51083.000000,50942.000000,28233.000000
25700.000000,51119.000000,51009.000000,28240.000000
25770.000000,51192.000000,51033.000000,28241.000000
25834.000000,51249.000000,51077.000000,28266.000000
26053.000000,51493.000000,51206.000000,28304.000000
26110.000000,51625.000000,51240.000000,28327.000000
26201.000000,51692.000000,51323.000000,28338.000000
26295.000000,51808.000000,51387.000000,28360.000000
26349.000000,51879.000000,51428.000000,28403.000000
26457.000000,51990.000000,51475.000000,28387.000000
26555.000000,52165.000000,51588.000000,28420.000000
26576.000000,52113.000000,51612.000000,28422.000000
26540.000000,52130.000000,51603.000000,28409.000000
26544.000000,52125.000000,51628.000000,28441.000000
26489.000000,52086.000000,51572.000000,28435.000000
26498.000000,52074.000000,51561.000000,28411.000000
26481.000000,52071.000000,51545.000000,28419.000000
26462.000000,52066.000000,51549.000000,28427.000000
26476.000000,52047.000000,51570.000000,28445.000000
26405.000000,52015.000000,51496.000000,28407.000000
26409.000000,52005.000000,51489.000000,28396.000000
26407.000000,51983.000000,51476.000000,28397.000000
26399.000000,51941.000000,51507.000000,28403.000000
26355.000000,51901.000000,51477.000000,28376.000000
26355.000000,51871.000000,51466.000000,28393.000000
26344.000000,51896.000000,51462.000000,28371.000000
26321.000000,51879.000000,51447.000000,28376.000000
26323.000000,51870.000000,51415.000000,28366.000000
26285.000000,51865.000000,51405.000000,28389.000000
26287.000000,51806.000000,51445.000000,28374.000000
26227.000000,51745.000000,51376.000000,28368.000000
26200.000000,51743.000000,51357.000000,28357.000000
26212.000000,51749.000000,51357.000000,28340.000000
26220.000000,51703.000000,51355.000000,28357.000000
26178.000000,51707.000000,51356.000000,28346.000000
26161.000000,51642.000000,51296.000000,28330.000000
26114.000000,51628.000000,51275.000000,28323.000000
26119.000000,51620.000000,51282.000000,28338.000000
26064.000000,51579.000000,51297.000000,28327.000000
26106.000000,51585.000000,51259.000000,28337.000000
26029.000000,51539.000000,51224.000000,28299.000000
25982.000000,51522.000000,51203.000000,28342.000000
25998.000000,51501.000000,51211.000000,28315.000000
25970.000000,51436.000000,51202.000000,28324.000000
25963.000000,51439.000000,51193.000000,28313.000000
25928.000000,51396.000000,51161.000000,28305.000000
25948.000000,51424.000000,51161.000000,28314.000000
25917.000000,51382.000000,51163.000000,28288.000000
25919.000000,51379.000000,51109.000000,28292.000000
25877.000000,51303.000000,51120.000000,28275.000000
25864.000000,51310.000000,51099.000000,28288.000000
25873.000000,51313.000000,51126.000000,28301.000000
25882.000000,51310.000000,51069.000000,28275.000000
25806.000000,51226.000000,51029.000000,28303.000000
25790.000000,51194.000000,51071.000000,28267.000000
25788.000000,51195.000000,51037.000000,28287.000000
25754.000000,51155.000000,51025.000000,28259.000000
25768.000000,51176.000000,51031.000000,28277.000000
25735.000000,51088.000000,50991.000000,28258.000000
25705.000000,51093.000000,50997.000000,28256.000000
25696.000000,51109.000000,50962.000000,28238.000000
25652.000000,51094.000000,50961.000000,28248.000000
25620.000000,50998.000000,50919.000000,28240.000000
25592.000000,51009.000000,50924.000000,28244.000000
25575.000000,50992.000000,50931.000000,28239.000000
25599.000000,50992.000000,50907.000000,28249.000000
25566.000000,50948.000000,50859.000000,28244.000000
25550.000000,50943.000000,50882.000000,28216.000000
25544.000000,50904.000000,50855.000000,28216.000000
25487.000000,50921.000000,50859.000000,28232.000000
25528.000000,50874.000000,50832.000000,28204.000000
25506.000000,50837.000000,50823.000000,28203.000000
25456.000000,50839.000000,50843.000000,28246.000000
25474.000000,50831.000000,50817.000000,28229.000000
25447.000000,50802.000000,50821.000000,28203.000000
25447.000000,50814.000000,50795.000000,28223.000000
25428.000000,50816.000000,50804.000000,28192.000000
25401.000000,50772.000000,50805.000000,28219.000000
25384.000000,50725.000000,50789.000000,28185.000000
25341.000000,50726.000000,50758.000000,28187.000000
25364.000000,50687.000000,50739.000000,28188.000000
25324.000000,50697.000000,50713.000000,28173.000000
25270.000000,50620.000000,50671.000000,28165.000000
25283.000000,50622.000000,50651.000000,28168.000000
25235.000000,50594.000000,50679.000000,28145.000000
25241.000000,50584.000000,50649.000000,28175.000000
25223.000000,50565.000000,50622.000000,28163.000000
25217.000000,50559.000000,50626.000000,28182.000000
25219.000000,50547.000000,50640.000000,28189.000000
25200.000000,50527.000000,50647.000000,28164.000000
25257.000000,50538.000000,50627.000000,28169.000000
25209.000000,50551.000000,50643.000000,28167.000000
25226.000000,50547.000000,50616.000000,28162.000000
25258.000000,50553.000000,50630.000000,28173.000000
25220.000000,50569.000000,50650.000000,28169.000000
25292.000000,50593.000000,50667.000000,28169.000000
25253.000000,50624.000000,50674.000000,28170.000000
25308.000000,50643.000000,50710.000000,28189.000000
25335.000000,50671.000000,50686.000000,28181.000000
25313.000000,50713.000000,50708.000000,28186.000000
25417.000000,50770.000000,50790.000000,28232.000000
25449.000000,50830.000000,50774.000000,28207.000000
25587.000000,50974.000000,50865.000000,28258.000000
25616.000000,51019.000000,50873.000000,28243.000000
25675.000000,51047.000000,50946.000000,28278.000000
25710.000000,51142.000000,50962.000000,28288.000000
25755.000000,51171.000000,50990.000000,28310.000000
25834.000000,51247.000000,51034.000000,28309.000000
26050.000000,51493.000000,51203.000000,28345.000000
26127.000000,51595.000000,51265.000000,28378.000000
26367.000000,51921.000000,51424.000000,28435.000000
26554.000000,52077.000000,51552.000000,28480.000000
26566.000000,52111.000000,51550.000000,28492.000000
26540.000000,52124.000000,51566.000000,28482.000000
26497.000000,52095.000000,51544.000000,28472.000000
26460.000000,52059.000000,51497.000000,28450.000000
26415.000000,51965.000000,51481.000000,28465.000000
26419.000000,51954.000000,51455.000000,28442.000000
26390.000000,51957.000000,51466.000000,28455.000000
26379.000000,51892.000000,51443.000000,28461.000000
26355.000000,51879.000000,51426.000000,28441.000000
26338.000000,51836.000000,51426.000000,28451.000000
26322.000000,51871.000000,51424.000000,28466.000000
26351.000000,51867.000000,51419.000000,28438.000000
26264.000000,51847.000000,51401.000000,28441.000000
26241.000000,51778.000000,51367.000000,28454.000000
26236.000000,51795.000000,51343.000000,28430.000000
26197.000000,51775.000000,51363.000000,28435.000000
26211.000000,51742.000000,51318.000000,28402.000000
26142.000000,51664.000000,51307.000000,28406.000000
26178.000000,51658.000000,51282.000000,28404.000000
26077.000000,51560.000000,51253.000000,28388.000000
26083.000000,51552.000000,51229.000000,28362.000000
26070.000000,51539.000000,51237.000000,28383.000000
26037.000000,51498.000000,51186.000000,28373.000000
26035.000000,51541.000000,51170.000000,28347.000000
25943.000000,51419.000000,51127.000000,28347.000000
25955.000000,51454.000000,51162.000000,28371.000000
25924.000000,51422.000000,51154.000000,28364.000000
25942.000000,51384.000000,51147.000000,28355.000000
25963.000000,51386.000000,51106.000000,28363.000000
25869.000000,51298.000000,51089.000000,28344.000000
25856.000000,51298.000000,51073.000000,28344.000000
25855.000000,51295.000000,51070.000000,28316.000000
25796.000000,51262.000000,51048.000000,28345.000000
25805.000000,51257.000000,51027.000000,28325.000000
25795.000000,51197.000000,51021.000000,28324.000000
25767.000000,51206.000000,51035.000000,28301.000000
25704.000000,51182.000000,51008.000000,28299.000000
25734.000000,51142.000000,50998.000000,28294.000000
25711.000000,51113.000000,51012.000000,28317.000000
25736.000000,51118.000000,50986.000000,28297.000000
25689.000000,51147.000000,50960.000000,28302.000000
25629.000000,51039.000000,50953.000000,28281.000000
25662.000000,51038.000000,50947.000000,28290.000000
25613.000000,51077.000000,50930.000000,28307.000000
25592.000000,51016.000000,50916.000000,28282.000000
25590.000000,51013.000000,50919.000000,28279.000000
25529.000000,50995.000000,50915.000000,28258.000000
25595.000000,50977.000000,50902.000000,28291.000000
25531.000000,50978.000000,50897.000000,28284.000000
25536.000000,50938.000000,50873.000000,28285.000000
25525.000000,50929.000000,50872.000000,28272.000000
25493.000000,50952.000000,50858.000000,28263.000000
