660nm,730nm,850nm,940nm
54161.000000,28068.000000,54617.000000,35980.000000
54083.000000,28019.000000,54520.000000,35871.000000
54003.000000,27969.000000,54422.000000,35764.000000
53920.000000,27920.000000,54322.000000,35658.000000
53834.000000,27872.000000,54218.000000,35554.000000
53745.000000,27823.000000,54111.000000,35451.000000
53656.000000,27772.000000,54000.000000,35352.000000
53568.000000,27724.000000,53889.000000,35255.000000
53485.000000,27681.000000,53783.000000,35158.000000
53407.000000,27644.000000,53682.000000,35063.000000
53336.000000,27612.000000,53587.000000,34972.000000
53271.000000,27586.000000,53497.000000,34887.000000
53216.000000,27563.000000,53418.000000,34813.000000
53169.000000,27543.000000,53349.000000,34752.000000
53130.000000,27523.000000,53290.000000,34700.000000
53098.000000,27504.000000,53237.000000,34654.000000
53075.000000,27486.000000,53194.000000,34616.000000
53060.000000,27474.000000,53162.000000,34589.000000
53049.000000,27465.000000,53144.000000,34571.000000
53046.000000,27465.000000,53138.000000,34560.000000
53050.000000,27473.000000,53144.000000,34555.000000
53062.000000,27488.000000,53160.000000,34567.000000
53079.000000,27508.000000,53186.000000,34600.000000
53102.000000,27536.000000,53222.000000,34649.000000
53130.000000,27572.000000,53267.000000,34708.000000
53162.000000,27613.000000,53319.000000,34777.000000
53196.000000,27657.000000,53377.000000,34858.000000
53232.000000,27705.000000,53441.000000,34946.000000
53272.000000,27755.000000,53509.000000,35036.000000
53312.000000,27805.000000,53581.000000,35126.000000
53352.000000,27855.000000,53657.000000,35210.000000
53389.000000,27906.000000,53737.000000,35290.000000
53422.000000,27956.000000,53816.000000,35369.000000
53445.000000,28003.000000,53890.000000,35446.000000
53459.000000,28045.000000,53955.000000,35515.000000
53465.000000,28081.000000,54012.000000,35571.000000
53463.000000,28109.000000,54055.000000,35614.000000
53450.000000,28129.000000,54083.000000,35651.000000
53423.000000,28138.000000,54095.000000,35680.000000
53384.000000,28135.000000,54090.000000,35697.000000
53337.000000,28124.000000,54069.000000,35701.000000
53281.000000,28106.000000,54036.000000,35692.000000
53221.000000,28085.000000,53990.000000,35666.000000
53159.000000,28059.000000,53930.000000,35617.000000
53095.000000,28027.000000,53855.000000,35548.000000
53029.000000,27989.000000,53768.000000,35462.000000
52965.000000,27949.000000,53675.000000,35367.000000
52905.000000,27910.000000,53579.000000,35270.000000
52851.000000,27869.000000,53486.000000,35179.000000
52804.000000,27828.000000,53398.000000,35099.000000
52761.000000,27787.000000,53316.000000,35029.000000
52721.000000,27748.000000,53240.000000,34964.000000
52685.000000,27711.000000,53168.000000,34903.000000
52652.000000,27675.000000,53100.000000,34842.000000
52625.000000,27643.000000,53036.000000,34781.000000
52605.000000,27615.000000,52974.000000,34714.000000
52591.000000,27587.000000,52917.000000,34638.000000
52582.000000,27556.000000,52861.000000,34552.000000
52575.000000,27521.000000,52800.000000,34459.000000
52572.000000,27485.000000,52731.000000,34363.000000
52570.000000,27449.000000,52655.000000,34268.000000
52568.000000,27409.000000,52573.000000,34174.000000
52564.000000,27364.000000,52489.000000,34078.000000
52556.000000,27316.000000,52404.000000,33984.000000
52543.000000,27270.000000,52320.000000,33899.000000
52526.000000,27225.000000,52244.000000,33824.000000
52506.000000,27185.000000,52177.000000,33758.000000
52480.000000,27151.000000,52119.000000,33701.000000
52451.000000,27121.000000,52070.000000,33654.000000
52420.000000,27097.000000,52030.000000,33616.000000
52387.000000,27080.000000,51998.000000,33585.000000
52353.000000,27066.000000,51970.000000,33557.000000
52317.000000,27053.000000,51940.000000,33526.000000
52282.000000,27037.000000,51907.000000,33493.000000
52251.000000,27018.000000,51867.000000,33454.000000
52222.000000,26996.000000,51821.000000,33404.000000
52196.000000,26968.000000,51770.000000,33345.000000
52174.000000,26937.000000,51713.000000,33281.000000
52156.000000,26903.000000,51649.000000,33213.000000
52140.000000,26866.000000,51581.000000,33142.000000
52125.000000,26826.000000,51514.000000,33069.000000
52110.000000,26785.000000,51449.000000,33000.000000
52097.000000,26748.000000,51390.000000,32939.000000
52085.000000,26714.000000,51339.000000,32888.000000
52073.000000,26686.000000,51301.000000,32845.000000
52062.000000,26669.000000,51275.000000,32812.000000
52054.000000,26662.000000,51259.000000,32788.000000
52046.000000,26662.000000,51250.000000,32777.000000
52039.000000,26665.000000,51245.000000,32773.000000
52033.000000,26671.000000,51240.000000,32773.000000
