660nm,730nm,850nm,940nm
26962.000000,17490.000000,12483.000000,53131.000000
27006.000000,17468.000000,12475.000000,53154.000000
26994.000000,17487.000000,12464.000000,53138.000000
26961.000000,17455.000000,12469.000000,53173.000000
26966.000000,17474.000000,12443.000000,53144.000000
26970.000000,17472.000000,12475.000000,53151.000000
26979.000000,17469.000000,12468.000000,53130.000000
26938.000000,17447.000000,12454.000000,53165.000000
26956.000000,17454.000000,12450.000000,53127.000000
26958.000000,17446.000000,12428.000000,53115.000000
26962.000000,17458.000000,12424.000000,53155.000000
26947.000000,17459.000000,12415.000000,53127.000000
26960.000000,17435.000000,12413.000000,53105.000000
26958.000000,17460.000000,12367.000000,53102.000000
26958.000000,17449.000000,12414.000000,53141.000000
26961.000000,17441.000000,12428.000000,53133.000000
26937.000000,17435.000000,12421.000000,53130.000000
26964.000000,17433.000000,12419.000000,53127.000000
26975.000000,17441.000000,12368.000000,53133.000000
26985.000000,17465.000000,12406.000000,53097.000000
26964.000000,17458.000000,12357.000000,53110.000000
26983.000000,17424.000000,12381.000000,53135.000000
26974.000000,17432.000000,12399.000000,53129.000000
27005.000000,17427.000000,12375.000000,53105.000000
26957.000000,17436.000000,12388.000000,53130.000000
26972.000000,17415.000000,12371.000000,53108.000000
26969.000000,17425.000000,12381.000000,53114.000000
26955.000000,17420.000000,12336.000000,53103.000000
26948.000000,17385.000000,12373.000000,53087.000000
26947.000000,17388.000000,12349.000000,53080.000000
26936.000000,17402.000000,12355.000000,53082.000000
26935.000000,17410.000000,12370.000000,53092.000000
26927.000000,17385.000000,12334.000000,53094.000000
26926.000000,17402.000000,12339.000000,53088.000000
26926.000000,17387.000000,12315.000000,53092.000000
26928.000000,17389.000000,12340.000000,53076.000000
26908.000000,17409.000000,12336.000000,53089.000000
26919.000000,17393.000000,12341.000000,53074.000000
26931.000000,17407.000000,12346.000000,53110.000000
26943.000000,17372.000000,12325.000000,53106.000000
26925.000000,17425.000000,12334.000000,53108.000000
26917.000000,17384.000000,12351.000000,53089.000000
26957.000000,17438.000000,12332.000000,53091.000000
26946.000000,17416.000000,12363.000000,53103.000000
26966.000000,17417.000000,12370.000000,53118.000000
26973.000000,17425.000000,12368.000000,53116.000000
26978.000000,17444.000000,12372.000000,53122.000000
26959.000000,17435.000000,12388.000000,53127.000000
26960.000000,17460.000000,12376.000000,53126.000000
26976.000000,17438.000000,12403.000000,53128.000000
26975.000000,17438.000000,12410.000000,53147.000000
27030.000000,17460.000000,12416.000000,53122.000000
27022.000000,17442.000000,12415.000000,53138.000000
27027.000000,17485.000000,12445.000000,53166.000000
27047.000000,17452.000000,12444.000000,53131.000000
27069.000000,17523.000000,12445.000000,53204.000000
27071.000000,17466.000000,12440.000000,53158.000000
27074.000000,17487.000000,12453.000000,53163.000000
27068.000000,17498.000000,12471.000000,53154.000000
27058.000000,17512.000000,12459.000000,53195.000000
27068.000000,17511.000000,12457.000000,53175.000000
27094.000000,17533.000000,12530.000000,53185.000000
27102.000000,17535.000000,12511.000000,53216.000000
27100.000000,17538.000000,12526.000000,53232.000000
27143.000000,17569.000000,12550.000000,53229.000000
27133.000000,17571.000000,12541.000000,53236.000000
27130.000000,17569.000000,12561.000000,53241.000000
27139.000000,17567.000000,12564.000000,53244.000000
27161.000000,17566.000000,12585.000000,53241.000000
27153.000000,17584.000000,12606.000000,53255.000000
27201.000000,17610.000000,12599.000000,53263.000000
27229.000000,17588.000000,12633.000000,53285.000000
27238.000000,17625.000000,12640.000000,53265.000000
27241.000000,17611.000000,12645.000000,53295.000000
27274.000000,17664.000000,12683.000000,53327.000000
27268.000000,17659.000000,12687.000000,53301.000000
27268.000000,17682.000000,12673.000000,53342.000000
27295.000000,17656.000000,12722.000000,53321.000000
27281.000000,17680.000000,12718.000000,53332.000000
27298.000000,17656.000000,12683.000000,53319.000000
27287.000000,17685.000000,12741.000000,53324.000000
27293.000000,17692.000000,12705.000000,53337.000000
27298.000000,17662.000000,12729.000000,53307.000000
27299.000000,17689.000000,12734.000000,53327.000000
27331.000000,17734.000000,12766.000000,53371.000000
27300.000000,17711.000000,12727.000000,53349.000000
27295.000000,17701.000000,12729.000000,53338.000000
27311.000000,17672.000000,12736.000000,53344.000000
27281.000000,17687.000000,12751.000000,53357.000000
27281.000000,17678.000000,12715.000000,53352.000000
27279.000000,17725.000000,12732.000000,53329.000000
27298.000000,17717.000000,12756.000000,53346.000000
27277.000000,17721.000000,12742.000000,53352.000000
27275.000000,17704.000000,12729.000000,53352.000000
27273.000000,17695.000000,12729.000000,53335.000000
27282.000000,17695.000000,12729.000000,53340.000000
27237.000000,17704.000000,12713.000000,53345.000000
27233.000000,17662.000000,12712.000000,53288.000000
27218.000000,17652.000000,12688.000000,53300.000000
27190.000000,17647.000000,12709.000000,53312.000000
27215.000000,17669.000000,12694.000000,53293.000000
27172.000000,17666.000000,12705.000000,53262.000000
27184.000000,17681.000000,12685.000000,53271.000000
27179.000000,17670.000000,12664.000000,53312.000000
27178.000000,17652.000000,12704.000000,53308.000000
27197.000000,17661.000000,12677.000000,53283.000000
27175.000000,17669.000000,12691.000000,53254.000000
27189.000000,17657.000000,12707.000000,53302.000000
27207.000000,17680.000000,12683.000000,53285.000000
27204.000000,17649.000000,12653.000000,53287.000000
27200.000000,17615.000000,12671.000000,53282.000000
27193.000000,17659.000000,12648.000000,53272.000000
27181.000000,17682.000000,12634.000000,53283.000000
27203.000000,17670.000000,12649.000000,53278.000000
27192.000000,17590.000000,12631.000000,53287.000000
