660nm,730nm,850nm,940nm
19451.000000,10213.000000,15986.000000,54452.000000
19402.000000,10172.000000,15993.000000,54511.000000
19403.000000,10133.000000,15982.000000,54459.000000
19394.000000,10133.000000,15928.000000,54449.000000
19355.000000,10124.000000,15927.000000,54422.000000
19365.000000,10127.000000,15880.000000,54427.000000
19318.000000,10066.000000,15848.000000,54389.000000
19283.000000,10116.000000,15852.000000,54416.000000
19251.000000,10062.000000,15827.000000,54387.000000
19218.000000,10077.000000,15840.000000,54324.000000
19232.000000,10039.000000,15782.000000,54372.000000
19170.000000,10006.000000,15798.000000,54333.000000
19205.000000,10002.000000,15738.000000,54332.000000
19158.000000,9996.000000,15754.000000,54311.000000
19151.000000,9989.000000,15719.000000,54341.000000
19142.000000,9962.000000,15688.000000,54275.000000
19108.000000,9939.000000,15642.000000,54280.000000
19083.000000,9949.000000,15656.000000,54254.000000
19039.000000,9926.000000,15621.000000,54201.000000
19034.000000,9908.000000,15568.000000,54238.000000
18972.000000,9863.000000,15545.000000,54194.000000
18995.000000,9846.000000,15535.000000,54181.000000
18954.000000,9831.000000,15541.000000,54198.000000
18919.000000,9840.000000,15465.000000,54149.000000
18873.000000,9796.000000,15485.000000,54142.000000
18910.000000,9848.000000,15412.000000,54143.000000
18840.000000,9747.000000,15417.000000,54100.000000
18821.000000,9795.000000,15377.000000,54098.000000
18843.000000,9745.000000,15374.000000,54108.000000
18780.000000,9761.000000,15379.000000,54073.000000
18778.000000,9738.000000,15336.000000,54089.000000
18758.000000,9750.000000,15345.000000,54064.000000
18760.000000,9679.000000,15346.000000,54072.000000
18713.000000,9721.000000,15334.000000,54089.000000
18780.000000,9703.000000,15376.000000,54112.000000
18787.000000,9712.000000,15359.000000,54115.000000
18783.000000,9755.000000,15384.000000,54071.000000
18790.000000,9757.000000,15387.000000,54123.000000
18826.000000,9756.000000,15381.000000,54138.000000
18808.000000,9778.000000,15406.000000,54093.000000
18844.000000,9751.000000,15407.000000,54155.000000
18821.000000,9761.000000,15432.000000,54144.000000
18874.000000,9778.000000,15430.000000,54162.000000
18842.000000,9790.000000,15473.000000,54191.000000
18867.000000,9783.000000,15478.000000,54175.000000
18909.000000,9791.000000,15500.000000,54184.000000
18946.000000,9818.000000,15532.000000,54204.000000
19003.000000,9861.000000,15588.000000,54239.000000
18998.000000,9872.000000,15611.000000,54280.000000
19041.000000,9882.000000,15676.000000,54306.000000
19041.000000,9920.000000,15715.000000,54345.000000
19104.000000,9972.000000,15782.000000,54349.000000
19145.000000,10003.000000,15819.000000,54385.000000
19172.000000,9984.000000,15865.000000,54481.000000
19218.000000,10034.000000,15900.000000,54466.000000
19300.000000,10095.000000,15994.000000,54523.000000
19359.000000,10123.000000,16083.000000,54536.000000
19455.000000,10174.000000,16131.000000,54594.000000
19507.000000,10265.000000,16188.000000,54674.000000
19543.000000,10252.000000,16269.000000,54712.000000
19620.000000,10332.000000,16336.000000,54745.000000
19652.000000,10417.000000,16404.000000,54760.000000
19750.000000,10402.000000,16483.000000,54830.000000
19825.000000,10476.000000,16581.000000,54854.000000
19910.000000,10574.000000,16637.000000,54949.000000
20008.000000,10607.000000,16714.000000,54933.000000
20109.000000,10692.000000,16790.000000,54998.000000
20135.000000,10723.000000,16885.000000,55029.000000
20210.000000,10759.000000,16961.000000,55061.000000
20248.000000,10807.000000,17023.000000,55144.000000
20321.000000,10882.000000,17073.000000,55126.000000
20392.000000,10888.000000,17124.000000,55177.000000
20418.000000,10969.000000,17192.000000,55203.000000
20471.000000,10980.000000,17239.000000,55225.000000
20500.000000,11036.000000,17288.000000,55267.000000
20547.000000,11053.000000,17305.000000,55286.000000
20579.000000,11094.000000,17350.000000,55260.000000
20610.000000,11101.000000,17348.000000,55303.000000
20632.000000,11106.000000,17347.000000,55298.000000
20659.000000,11129.000000,17347.000000,55295.000000
20691.000000,11121.000000,17311.000000,55315.000000
20660.000000,11149.000000,17371.000000,55292.000000
20652.000000,11105.000000,17352.000000,55309.000000
20689.000000,11155.000000,17312.000000,55260.000000
20635.000000,11107.000000,17307.000000,55311.000000
20620.000000,11098.000000,17322.000000,55233.000000
20597.000000,11076.000000,17281.000000,55253.000000
20604.000000,11057.000000,17261.000000,55236.000000
20524.000000,11073.000000,17251.000000,55251.000000
20549.000000,11034.000000,17232.000000,55220.000000
20508.000000,10999.000000,17197.000000,55224.000000
20489.000000,11007.000000,17215.000000,55218.000000
20492.000000,10995.000000,17185.000000,55172.000000
20441.000000,10966.000000,17179.000000,55173.000000
20432.000000,10960.000000,17168.000000,55191.000000
20406.000000,10990.000000,17163.000000,55177.000000
20404.000000,10958.000000,17146.000000,55156.000000
20405.000000,10949.000000,17088.000000,55138.000000
20396.000000,10932.000000,17089.000000,55158.000000
20356.000000,10933.000000,17093.000000,55158.000000
20372.000000,10908.000000,17066.000000,55133.000000
20373.000000,10934.000000,17028.000000,55147.000000
20370.000000,10884.000000,17023.000000,55120.000000
20350.000000,10899.000000,17013.000000,55108.000000
20359.000000,10868.000000,16989.000000,55076.000000
20320.000000,10850.000000,17007.000000,55111.000000
20299.000000,10889.000000,16993.000000,55083.000000
20299.000000,10872.000000,16947.000000,55046.000000
20269.000000,10828.000000,16940.000000,55092.000000
20260.000000,10831.000000,16938.000000,55084.000000
20241.000000,10813.000000,16938.000000,55053.000000
20249.000000,10799.000000,16913.000000,55051.000000
