660nm,730nm,850nm,940nm
21295.000000,12075.000000,11253.000000,50260.000000
21307.000000,11983.000000,11299.000000,50147.000000
21303.000000,11953.000000,11200.000000,50198.000000
21355.000000,11984.000000,11262.000000,50175.000000
21368.000000,12041.000000,11310.000000,50086.000000
21345.000000,11953.000000,11349.000000,50142.000000
21223.000000,12093.000000,11253.000000,50158.000000
21321.000000,11941.000000,11234.000000,50170.000000
21295.000000,11917.000000,11166.000000,50163.000000
21333.000000,11913.000000,11210.000000,50203.000000
21211.000000,11930.000000,11263.000000,50161.000000
21232.000000,11979.000000,11146.000000,50181.000000
21271.000000,11946.000000,11147.000000,50168.000000
21223.000000,11952.000000,11171.000000,50102.000000
21141.000000,11887.000000,11020.000000,50087.000000
21164.000000,11909.000000,11089.000000,50141.000000
21216.000000,11818.000000,11112.000000,50045.000000
21107.000000,11773.000000,11035.000000,50066.000000
20981.000000,11696.000000,11051.000000,49966.000000
21021.000000,11761.000000,10992.000000,50026.000000
21066.000000,11746.000000,10914.000000,50084.000000
21011.000000,11685.000000,10897.000000,50073.000000
20946.000000,11718.000000,10982.000000,50070.000000
21036.000000,11768.000000,10843.000000,49977.000000
20935.000000,11745.000000,10920.000000,49963.000000
20842.000000,11621.000000,10935.000000,49988.000000
20823.000000,11674.000000,10920.000000,49892.000000
20939.000000,11621.000000,10911.000000,49942.000000
20911.000000,11718.000000,10837.000000,49955.000000
20813.000000,11677.000000,10823.000000,49855.000000
20848.000000,11593.000000,10774.000000,49858.000000
20918.000000,11599.000000,10858.000000,49915.000000
20866.000000,11600.000000,10774.000000,49914.000000
20829.000000,11514.000000,10776.000000,49831.000000
20830.000000,11530.000000,10788.000000,49892.000000
20723.000000,11406.000000,10761.000000,49882.000000
20822.000000,11508.000000,10724.000000,50011.000000
20819.000000,11525.000000,10764.000000,50011.000000
20814.000000,11540.000000,10795.000000,49960.000000
20723.000000,11442.000000,10821.000000,50086.000000
20909.000000,11546.000000,10802.000000,49917.000000
20997.000000,11684.000000,10851.000000,50055.000000
20883.000000,11579.000000,10956.000000,49968.000000
20873.000000,11593.000000,10914.000000,49964.000000
20955.000000,11706.000000,10956.000000,50079.000000
21147.000000,11787.000000,11082.000000,49998.000000
21176.000000,11747.000000,11132.000000,50127.000000
21202.000000,11958.000000,11231.000000,50180.000000
21424.000000,12000.000000,11305.000000,50197.000000
21538.000000,12034.000000,11417.000000,50269.000000
21671.000000,12254.000000,11628.000000,50437.000000
21750.000000,12229.000000,11693.000000,50499.000000
21923.000000,12390.000000,11811.000000,50350.000000
22049.000000,12636.000000,11986.000000,50533.000000
22179.000000,12804.000000,12066.000000,50703.000000
22251.000000,12606.000000,12174.000000,50809.000000
22435.000000,12801.000000,12249.000000,50787.000000
22486.000000,12871.000000,12272.000000,50807.000000
22505.000000,12733.000000,12410.000000,50820.000000
22484.000000,12950.000000,12435.000000,50807.000000
22599.000000,12870.000000,12382.000000,50857.000000
22605.000000,12818.000000,12338.000000,50797.000000
22545.000000,12840.000000,12431.000000,50843.000000
22571.000000,12888.000000,12328.000000,50805.000000
22525.000000,12903.000000,12369.000000,50829.000000
22553.000000,12921.000000,12364.000000,50858.000000
22479.000000,12844.000000,12262.000000,50729.000000
