660nm,730nm,850nm,940nm
16944.000000,39706.000000,43942.000000,22363.000000
16846.000000,39676.000000,43971.000000,22361.000000
16868.000000,39655.000000,43903.000000,22368.000000
16825.000000,39634.000000,43982.000000,22366.000000
16874.000000,39630.000000,43927.000000,22320.000000
16802.000000,39598.000000,43972.000000,22341.000000
16830.000000,39604.000000,43872.000000,22329.000000
16753.000000,39565.000000,43945.000000,22338.000000
16781.000000,39543.000000,43860.000000,22346.000000
16732.000000,39518.000000,43903.000000,22327.000000
16749.000000,39485.000000,43854.000000,22330.000000
16699.000000,39485.000000,43891.000000,22306.000000
16758.000000,39460.000000,43822.000000,22295.000000
16682.000000,39464.000000,43847.000000,22284.000000
16680.000000,39422.000000,43795.000000,22285.000000
16635.000000,39450.000000,43827.000000,22316.000000
16660.000000,39406.000000,43795.000000,22300.000000
16629.000000,39379.000000,43814.000000,22295.000000
16667.000000,39383.000000,43756.000000,22270.000000
16583.000000,39376.000000,43791.000000,22274.000000
16612.000000,39352.000000,43746.000000,22271.000000
16570.000000,39340.000000,43788.000000,22265.000000
16597.000000,39308.000000,43735.000000,22249.000000
16543.000000,39296.000000,43746.000000,22289.000000
16545.000000,39307.000000,43725.000000,22233.000000
16514.000000,39226.000000,43752.000000,22270.000000
16515.000000,39249.000000,43734.000000,22240.000000
16477.000000,39188.000000,43665.000000,22278.000000
16467.000000,39240.000000,43684.000000,22212.000000
16480.000000,39176.000000,43675.000000,22239.000000
16423.000000,39182.000000,43699.000000,22195.000000
16428.000000,39135.000000,43662.000000,22262.000000
16394.000000,39151.000000,43656.000000,22182.000000
16414.000000,39095.000000,43631.000000,22216.000000
16332.000000,39109.000000,43617.000000,22173.000000
16341.000000,39070.000000,43617.000000,22236.000000
16310.000000,39057.000000,43571.000000,22166.000000
16224.000000,38975.000000,43596.000000,22205.000000
16272.000000,38997.000000,43576.000000,22164.000000
16204.000000,38918.000000,43535.000000,22175.000000
16235.000000,38937.000000,43524.000000,22135.000000
16172.000000,38877.000000,43520.000000,22159.000000
16193.000000,38873.000000,43450.000000,22109.000000
16127.000000,38824.000000,43459.000000,22157.000000
16155.000000,38832.000000,43419.000000,22117.000000
16078.000000,38783.000000,43465.000000,22130.000000
16092.000000,38783.000000,43432.000000,22090.000000
16038.000000,38726.000000,43410.000000,22144.000000
16004.000000,38715.000000,43393.000000,22098.000000
16009.000000,38678.000000,43374.000000,22111.000000
16040.000000,38709.000000,43345.000000,22084.000000
15996.000000,38646.000000,43374.000000,22084.000000
15965.000000,38662.000000,43341.000000,22046.000000
15921.000000,38583.000000,43370.000000,22084.000000
15931.000000,38628.000000,43266.000000,22035.000000
15914.000000,38574.000000,43319.000000,22055.000000
15920.000000,38592.000000,43279.000000,22021.000000
15877.000000,38495.000000,43275.000000,22059.000000
15877.000000,38569.000000,43234.000000,22025.000000
15809.000000,38533.000000,43336.000000,22066.000000
15825.000000,38478.000000,43244.000000,22029.000000
15766.000000,38439.000000,43260.000000,22043.000000
15815.000000,38476.000000,43233.000000,22006.000000
15751.000000,38383.000000,43248.000000,22027.000000
15739.000000,38395.000000,43176.000000,21984.000000
15697.000000,38349.000000,43225.000000,22036.000000
15718.000000,38395.000000,43177.000000,21980.000000
15658.000000,38327.000000,43185.000000,21999.000000
15706.000000,38350.000000,43157.000000,21966.000000
15637.000000,38328.000000,43169.000000,21994.000000
15668.000000,38268.000000,43148.000000,21991.000000
15613.000000,38262.000000,43126.000000,21956.000000
15615.000000,38270.000000,43103.000000,21974.000000
15611.000000,38235.000000,43106.000000,21957.000000
15624.000000,38220.000000,43126.000000,21970.000000
15574.000000,38205.000000,43111.000000,21943.000000
15578.000000,38198.000000,43102.000000,21945.000000
15591.000000,38151.000000,43079.000000,21943.000000
15500.000000,38158.000000,43090.000000,21948.000000
15520.000000,38139.000000,43055.000000,21924.000000
15491.000000,38133.000000,43071.000000,21933.000000
15500.000000,38104.000000,43055.000000,21931.000000
15497.000000,38129.000000,43040.000000,21922.000000
15466.000000,38073.000000,43031.000000,21930.000000
15463.000000,38097.000000,43021.000000,21935.000000
15438.000000,38057.000000,42999.000000,21893.000000
15414.000000,38088.000000,43012.000000,21902.000000
15443.000000,38054.000000,43023.000000,21908.000000
15395.000000,38058.000000,42985.000000,21892.000000
15399.000000,38006.000000,43012.000000,21898.000000
15419.000000,38040.000000,42975.000000,21887.000000
15391.000000,38015.000000,43002.000000,21882.000000
15407.000000,37968.000000,42950.000000,21840.000000
15374.000000,37947.000000,42994.000000,21854.000000
15390.000000,37949.000000,42978.000000,21861.000000
15324.000000,37920.000000,42956.000000,21858.000000
15331.000000,37923.000000,42942.000000,21851.000000
15291.000000,37922.000000,42939.000000,21854.000000
15320.000000,37907.000000,42918.000000,21838.000000
15284.000000,37914.000000,42926.000000,21835.000000
15271.000000,37884.000000,42892.000000,21874.000000
15255.000000,37831.000000,42910.000000,21835.000000
15252.000000,37849.000000,42888.000000,21844.000000
15235.000000,37819.000000,42905.000000,21829.000000
15194.000000,37797.000000,42859.000000,21823.000000
15188.000000,37794.000000,42864.000000,21787.000000
15184.000000,37744.000000,42846.000000,21811.000000
15173.000000,37743.000000,42825.000000,21777.000000
15124.000000,37709.000000,42836.000000,21783.000000
15132.000000,37702.000000,42789.000000,21796.000000
15077.000000,37658.000000,42807.000000,21781.000000
15078.000000,37652.000000,42794.000000,21763.000000
15060.000000,37633.000000,42776.000000,21763.000000
15064.000000,37648.000000,42766.000000,21762.000000
15038.000000,37603.000000,42783.000000,21771.000000
15013.000000,37618.000000,42736.000000,21738.000000
15029.000000,37595.000000,42754.000000,21746.000000
15027.000000,37586.000000,42736.000000,21749.000000
15014.000000,37544.000000,42769.000000,21758.000000
15048.000000,37623.000000,42734.000000,21736.000000
15034.000000,37566.000000,42768.000000,21729.000000
15058.000000,37607.000000,42754.000000,21748.000000
15037.000000,37629.000000,42799.000000,21748.000000
15069.000000,37645.000000,42788.000000,21756.000000
15080.000000,37627.000000,42795.000000,21751.000000
15118.000000,37732.000000,42799.000000,21790.000000
15118.000000,37702.000000,42813.000000,21774.000000
15180.000000,37753.000000,42833.000000,21809.000000
15184.000000,37780.000000,42869.000000,21770.000000
15226.000000,37792.000000,42846.000000,21801.000000
15218.000000,37786.000000,42887.000000,21803.000000
15300.000000,37842.000000,42877.000000,21830.000000
15280.000000,37899.000000,42917.000000,21832.000000
15341.000000,37912.000000,42943.000000,21835.000000
