660nm,730nm,850nm,940nm
24188.000000,14192.000000,15012.000000,52771.000000
24284.000000,14149.000000,15039.000000,52704.000000
24247.000000,14251.000000,15026.000000,52714.000000
24199.000000,14172.000000,15034.000000,52678.000000
24193.000000,14252.000000,14963.000000,52684.000000
24240.000000,14215.000000,14928.000000,52791.000000
24122.000000,14153.000000,15044.000000,52714.000000
24231.000000,14198.000000,14981.000000,52858.000000
24227.000000,14248.000000,14884.000000,52693.000000
24228.000000,14220.000000,14900.000000,52791.000000
24212.000000,14127.000000,15014.000000,52727.000000
24300.000000,14173.000000,14965.000000,52757.000000
24168.000000,14140.000000,14960.000000,52748.000000
24198.000000,14124.000000,15017.000000,52748.000000
24116.000000,14226.000000,14929.000000,52658.000000
24139.000000,14112.000000,14879.000000,52708.000000
24095.000000,14140.000000,14926.000000,52713.000000
24141.000000,14245.000000,14934.000000,52655.000000
24113.000000,14074.000000,14839.000000,52727.000000
24139.000000,14178.000000,14835.000000,52711.000000
24026.000000,14115.000000,14817.000000,52692.000000
24107.000000,14086.000000,14802.000000,52623.000000
24015.000000,14090.000000,14839.000000,52708.000000
24095.000000,14062.000000,14788.000000,52654.000000
24060.000000,14127.000000,14846.000000,52683.000000
24065.000000,14049.000000,14840.000000,52557.000000
24007.000000,14034.000000,14743.000000,52549.000000
24064.000000,14076.000000,14836.000000,52578.000000
24037.000000,14084.000000,14728.000000,52499.000000
24033.000000,14045.000000,14742.000000,52614.000000
23977.000000,13935.000000,14719.000000,52640.000000
23974.000000,14011.000000,14718.000000,52589.000000
24016.000000,13982.000000,14747.000000,52573.000000
24013.000000,13984.000000,14781.000000,52597.000000
23949.000000,14012.000000,14705.000000,52579.000000
23994.000000,13885.000000,14616.000000,52517.000000
23973.000000,13953.000000,14678.000000,52522.000000
23913.000000,13912.000000,14668.000000,52485.000000
23994.000000,14003.000000,14668.000000,52620.000000
23965.000000,13831.000000,14665.000000,52649.000000
24007.000000,13897.000000,14699.000000,52533.000000
23823.000000,14020.000000,14710.000000,52638.000000
23901.000000,13965.000000,14668.000000,52577.000000
23985.000000,13904.000000,14702.000000,52471.000000
24002.000000,13889.000000,14643.000000,52548.000000
23869.000000,13949.000000,14774.000000,52569.000000
24028.000000,14042.000000,14645.000000,52531.000000
23956.000000,13829.000000,14569.000000,52628.000000
24003.000000,13946.000000,14727.000000,52552.000000
23922.000000,13964.000000,14661.000000,52573.000000
24030.000000,14015.000000,14743.000000,52605.000000
24005.000000,13901.000000,14686.000000,52644.000000
24015.000000,14033.000000,14691.000000,52660.000000
24000.000000,14041.000000,14659.000000,52613.000000
24082.000000,14028.000000,14835.000000,52619.000000
24094.000000,14100.000000,14750.000000,52671.000000
24164.000000,14061.000000,14851.000000,52671.000000
24176.000000,14080.000000,14893.000000,52638.000000
24227.000000,14118.000000,14887.000000,52714.000000
24215.000000,14126.000000,14973.000000,52730.000000
24213.000000,14108.000000,14987.000000,52707.000000
24204.000000,14166.000000,14922.000000,52718.000000
24349.000000,14196.000000,15113.000000,52776.000000
24317.000000,14235.000000,15094.000000,52764.000000
24389.000000,14318.000000,15084.000000,52827.000000
24365.000000,14344.000000,15168.000000,52805.000000
24403.000000,14301.000000,15207.000000,52869.000000
24497.000000,14356.000000,15214.000000,52875.000000
24509.000000,14388.000000,15184.000000,52950.000000
24537.000000,14342.000000,15157.000000,52875.000000
24524.000000,14398.000000,15254.000000,52907.000000
24632.000000,14405.000000,15361.000000,52941.000000
24648.000000,14380.000000,15329.000000,52913.000000
24588.000000,14394.000000,15277.000000,52977.000000
24727.000000,14493.000000,15378.000000,52903.000000
24765.000000,14537.000000,15369.000000,53026.000000
24685.000000,14562.000000,15359.000000,52999.000000
24675.000000,14604.000000,15415.000000,53010.000000
24721.000000,14520.000000,15356.000000,52972.000000
24715.000000,14575.000000,15369.000000,53037.000000
24668.000000,14533.000000,15450.000000,53030.000000
24749.000000,14531.000000,15402.000000,53094.000000
24737.000000,14569.000000,15471.000000,52984.000000
24699.000000,14527.000000,15401.000000,53034.000000
24687.000000,14582.000000,15351.000000,53020.000000
24698.000000,14535.000000,15389.000000,53010.000000
24683.000000,14558.000000,15354.000000,53027.000000
24638.000000,14531.000000,15442.000000,53019.000000
24656.000000,14514.000000,15297.000000,52928.000000
24672.000000,14548.000000,15357.000000,52932.000000
24691.000000,14493.000000,15295.000000,53016.000000
24681.000000,14536.000000,15364.000000,53024.000000
24583.000000,14475.000000,15404.000000,52900.000000
24763.000000,14458.000000,15328.000000,52901.000000
24686.000000,14374.000000,15291.000000,52921.000000
