660nm,730nm,850nm,940nm
25149.000000,17740.000000,24170.000000,59411.000000
25012.000000,17768.000000,24134.000000,59328.000000
24907.000000,17691.000000,24298.000000,59279.000000
25075.000000,17753.000000,24150.000000,59345.000000
25138.000000,17618.000000,24044.000000,59491.000000
24959.000000,17630.000000,24110.000000,59218.000000
25034.000000,17666.000000,24134.000000,59356.000000
25190.000000,17648.000000,24101.000000,59327.000000
25019.000000,17692.000000,23987.000000,59302.000000
25072.000000,17665.000000,24040.000000,59302.000000
25151.000000,17634.000000,23951.000000,59309.000000
25045.000000,17633.000000,23994.000000,59190.000000
24986.000000,17637.000000,23953.000000,59265.000000
24761.000000,17529.000000,24074.000000,59371.000000
24957.000000,17489.000000,23935.000000,59176.000000
25010.000000,17636.000000,23862.000000,59351.000000
24905.000000,17641.000000,23923.000000,59362.000000
24932.000000,17544.000000,23914.000000,59194.000000
24995.000000,17434.000000,23905.000000,59229.000000
24925.000000,17422.000000,23798.000000,59192.000000
24904.000000,17559.000000,23692.000000,59183.000000
24913.000000,17537.000000,23777.000000,59218.000000
24918.000000,17506.000000,23796.000000,59145.000000
24827.000000,17474.000000,23746.000000,59163.000000
24982.000000,17513.000000,23434.000000,59252.000000
24862.000000,17531.000000,23771.000000,59221.000000
24682.000000,17277.000000,23679.000000,59230.000000
24781.000000,17382.000000,23682.000000,59205.000000
24805.000000,17386.000000,23673.000000,59155.000000
24838.000000,17384.000000,23623.000000,59160.000000
24636.000000,17281.000000,23628.000000,59142.000000
24771.000000,17412.000000,23594.000000,59175.000000
24742.000000,17304.000000,23533.000000,59164.000000
24759.000000,17286.000000,23558.000000,59041.000000
24687.000000,17293.000000,23490.000000,59039.000000
24666.000000,17355.000000,23509.000000,59146.000000
24695.000000,17226.000000,23329.000000,58981.000000
24743.000000,17280.000000,23485.000000,59020.000000
24658.000000,17172.000000,23479.000000,58915.000000
24571.000000,17178.000000,23209.000000,58950.000000
24508.000000,17112.000000,23212.000000,58865.000000
24472.000000,17175.000000,23262.000000,58920.000000
24511.000000,17173.000000,23238.000000,58948.000000
24549.000000,17117.000000,23182.000000,58927.000000
24437.000000,16975.000000,23141.000000,58929.000000
24593.000000,17252.000000,23316.000000,58969.000000
24499.000000,17277.000000,23247.000000,58799.000000
24457.000000,17119.000000,23168.000000,58916.000000
24483.000000,17117.000000,23169.000000,58883.000000
24536.000000,17115.000000,23246.000000,58902.000000
24502.000000,17168.000000,23207.000000,58892.000000
24556.000000,17311.000000,23171.000000,58877.000000
24558.000000,17210.000000,23318.000000,58968.000000
24583.000000,17246.000000,23269.000000,58965.000000
24579.000000,17272.000000,23255.000000,58987.000000
24574.000000,17261.000000,23302.000000,58962.000000
24568.000000,17279.000000,23315.000000,59001.000000
24553.000000,17363.000000,23201.000000,58907.000000
24716.000000,17365.000000,23408.000000,58981.000000
24623.000000,17283.000000,23372.000000,59091.000000
24650.000000,17288.000000,23509.000000,59042.000000
24685.000000,17311.000000,23381.000000,59041.000000
24670.000000,17397.000000,23399.000000,59128.000000
24645.000000,17324.000000,23426.000000,59127.000000
24818.000000,17436.000000,23547.000000,59086.000000
24689.000000,17411.000000,23572.000000,59004.000000
24624.000000,17437.000000,23540.000000,59119.000000
24701.000000,17580.000000,23654.000000,58953.000000
24756.000000,17414.000000,23509.000000,59171.000000
24664.000000,17431.000000,23613.000000,59045.000000
24789.000000,17426.000000,23622.000000,59084.000000
24762.000000,17395.000000,23535.000000,59129.000000
24780.000000,17475.000000,23563.000000,59220.000000
24727.000000,17423.000000,23522.000000,59076.000000
24816.000000,17502.000000,23680.000000,59044.000000
24887.000000,17667.000000,23665.000000,59156.000000
24803.000000,17578.000000,23579.000000,59116.000000
24815.000000,17540.000000,23663.000000,59150.000000
24940.000000,17613.000000,23694.000000,59291.000000
25076.000000,17604.000000,23870.000000,59298.000000
25014.000000,17720.000000,23785.000000,59295.000000
25188.000000,17756.000000,24082.000000,59331.000000
25128.000000,17729.000000,24335.000000,59356.000000
25158.000000,17759.000000,24165.000000,59420.000000
25421.000000,17955.000000,24304.000000,59310.000000
25182.000000,17755.000000,24325.000000,59497.000000
25332.000000,17843.000000,24242.000000,59441.000000
25166.000000,17773.000000,24358.000000,59164.000000
25089.000000,17712.000000,24169.000000,59343.000000
25163.000000,17773.000000,24233.000000,59362.000000
25272.000000,17779.000000,24319.000000,59380.000000
25235.000000,17812.000000,24128.000000,59405.000000
25075.000000,17742.000000,24180.000000,59431.000000
25244.000000,17707.000000,24087.000000,59462.000000
25214.000000,17849.000000,24167.000000,59458.000000
25224.000000,17805.000000,24184.000000,59384.000000
25040.000000,17766.000000,24153.000000,59278.000000
25281.000000,17788.000000,24086.000000,59417.000000
25258.000000,17735.000000,24217.000000,59438.000000
25250.000000,17818.000000,24212.000000,59399.000000
25192.000000,17741.000000,24086.000000,59516.000000
25186.000000,17797.000000,24142.000000,59393.000000
25053.000000,17737.000000,24062.000000,59405.000000
25147.000000,17838.000000,24243.000000,59492.000000
25138.000000,17797.000000,24158.000000,59399.000000
25154.000000,17653.000000,24112.000000,59391.000000
25051.000000,17718.000000,24201.000000,59398.000000
25196.000000,17808.000000,24143.000000,59403.000000
25176.000000,17709.000000,24074.000000,59362.000000
25151.000000,17733.000000,24141.000000,59337.000000
25144.000000,17704.000000,24163.000000,59423.000000
25111.000000,17724.000000,24367.000000,59506.000000
25211.000000,17758.000000,24330.000000,59364.000000
25107.000000,17744.000000,24202.000000,59384.000000
25186.000000,17712.000000,24238.000000,59337.000000
25176.000000,17564.000000,24277.000000,59331.000000
25160.000000,17698.000000,24092.000000,59304.000000
25283.000000,17715.000000,24099.000000,59251.000000
25136.000000,17763.000000,24107.000000,59440.000000
25159.000000,17689.000000,24175.000000,59376.000000
24911.000000,17710.000000,24193.000000,59429.000000
25154.000000,17837.000000,23981.000000,59515.000000
25160.000000,17766.000000,24123.000000,59430.000000
25074.000000,17739.000000,24123.000000,59353.000000
25026.000000,17710.000000,24124.000000,59389.000000
25007.000000,17774.000000,24130.000000,59317.000000
25138.000000,17673.000000,24123.000000,59313.000000
25105.000000,17630.000000,24083.000000,59259.000000
25157.000000,17787.000000,24093.000000,59341.000000
25032.000000,17647.000000,24016.000000,59481.000000
24996.000000,17685.000000,24089.000000,59286.000000
25104.000000,17792.000000,24021.000000,59321.000000
25050.000000,17843.000000,24088.000000,59215.000000
25084.000000,17683.000000,24055.000000,59400.000000
25021.000000,17563.000000,24102.000000,59223.000000
25061.000000,17686.000000,23975.000000,59299.000000
25076.000000,17745.000000,24034.000000,59282.000000
24976.000000,17803.000000,23994.000000,59349.000000
25047.000000,17567.000000,24011.000000,59380.000000
25115.000000,17744.000000,23946.000000,59341.000000
24984.000000,17726.000000,24038.000000,59422.000000
25032.000000,17606.000000,23992.000000,59266.000000
25100.000000,17611.000000,23993.000000,59285.000000
25059.000000,17698.000000,23930.000000,59326.000000
24941.000000,17672.000000,23930.000000,59331.000000
24875.000000,17726.000000,24094.000000,59339.000000
24981.000000,17630.000000,23891.000000,59216.000000
25099.000000,17520.000000,23940.000000,59317.000000
24986.000000,17607.000000,23907.000000,59289.000000
24989.000000,17607.000000,23899.000000,59229.000000
25149.000000,17614.000000,23934.000000,59281.000000
24953.000000,17794.000000,24065.000000,59215.000000
24914.000000,17579.000000,23920.000000,59234.000000
24968.000000,17631.000000,23859.000000,59247.000000
24965.000000,17592.000000,23793.000000,59264.000000
24981.000000,17585.000000,23921.000000,59265.000000
24896.000000,17518.000000,23820.000000,59233.000000
24980.000000,17529.000000,23851.000000,59163.000000
25023.000000,17735.000000,23935.000000,59027.000000
24954.000000,17703.000000,23804.000000,59225.000000
24899.000000,17512.000000,23761.000000,59248.000000
24920.000000,17489.000000,23889.000000,59131.000000
25000.000000,17641.000000,23792.000000,59222.000000
24962.000000,17608.000000,23852.000000,59283.000000
24882.000000,17580.000000,23991.000000,59101.000000
24902.000000,17450.000000,23807.000000,59179.000000
24834.000000,17439.000000,23574.000000,59011.000000
24812.000000,17474.000000,23671.000000,59123.000000
24776.000000,17474.000000,23682.000000,59153.000000
24854.000000,17533.000000,23496.000000,59022.000000
24543.000000,17429.000000,23622.000000,59040.000000
24746.000000,17460.000000,23599.000000,59002.000000
24623.000000,17177.000000,23431.000000,58894.000000
24732.000000,17344.000000,23370.000000,58878.000000
24593.000000,17352.000000,23313.000000,59013.000000
24576.000000,17326.000000,23399.000000,59026.000000
24494.000000,17231.000000,23381.000000,58879.000000
24655.000000,17310.000000,23354.000000,59000.000000
24633.000000,17268.000000,23297.000000,58954.000000
24574.000000,17331.000000,23345.000000,58975.000000
24645.000000,17155.000000,23231.000000,58977.000000
24615.000000,17381.000000,23357.000000,59009.000000
24619.000000,17318.000000,23303.000000,58950.000000
24505.000000,17304.000000,23308.000000,58991.000000
24546.000000,17294.000000,23284.000000,59005.000000
24620.000000,17306.000000,23322.000000,59031.000000
24640.000000,17270.000000,23409.000000,58944.000000
24628.000000,17292.000000,23390.000000,59014.000000
24607.000000,17384.000000,23405.000000,59074.000000
24667.000000,17279.000000,23364.000000,59060.000000
24598.000000,17390.000000,23407.000000,59051.000000
24641.000000,17357.000000,23469.000000,59016.000000
24732.000000,17362.000000,23453.000000,59004.000000
24539.000000,17417.000000,23253.000000,59055.000000
24675.000000,17433.000000,23428.000000,59158.000000
24687.000000,17259.000000,23468.000000,59077.000000
24763.000000,17358.000000,23431.000000,59135.000000
24701.000000,17243.000000,23548.000000,59061.000000
24794.000000,17450.000000,23526.000000,59053.000000
24552.000000,17379.000000,23598.000000,58962.000000
24825.000000,17485.000000,23557.000000,59110.000000
24756.000000,17402.000000,23656.000000,59077.000000
24768.000000,17475.000000,23567.000000,59132.000000
24826.000000,17512.000000,23517.000000,59030.000000
24958.000000,17333.000000,23704.000000,59274.000000
24848.000000,17371.000000,23680.000000,59263.000000
24968.000000,17592.000000,23774.000000,59218.000000
25069.000000,17537.000000,23828.000000,59267.000000
25012.000000,17649.000000,23950.000000,59444.000000
24948.000000,17580.000000,23885.000000,59294.000000
25001.000000,17712.000000,24054.000000,59302.000000
25003.000000,17658.000000,24208.000000,59371.000000
25101.000000,17724.000000,24121.000000,59298.000000
25184.000000,17737.000000,24173.000000,59321.000000
25106.000000,17683.000000,24060.000000,59326.000000
