660nm,730nm,850nm,940nm
25782.000000,15435.000000,22406.000000,56498.000000
25754.000000,15445.000000,22376.000000,56533.000000
25789.000000,15491.000000,22412.000000,56500.000000
25764.000000,15478.000000,22408.000000,56506.000000
25779.000000,15480.000000,22392.000000,56543.000000
25765.000000,15436.000000,22407.000000,56502.000000
25773.000000,15442.000000,22389.000000,56540.000000
25764.000000,15452.000000,22429.000000,56537.000000
25792.000000,15477.000000,22403.000000,56508.000000
25771.000000,15439.000000,22384.000000,56512.000000
25804.000000,15503.000000,22402.000000,56566.000000
25749.000000,15470.000000,22347.000000,56535.000000
25763.000000,15499.000000,22375.000000,56543.000000
25737.000000,15452.000000,22352.000000,56519.000000
25754.000000,15459.000000,22369.000000,56526.000000
25741.000000,15471.000000,22348.000000,56502.000000
25732.000000,15421.000000,22322.000000,56513.000000
25754.000000,15425.000000,22374.000000,56490.000000
25756.000000,15400.000000,22371.000000,56474.000000
25706.000000,15428.000000,22376.000000,56502.000000
25729.000000,15446.000000,22333.000000,56498.000000
25716.000000,15424.000000,22306.000000,56508.000000
25746.000000,15419.000000,22290.000000,56463.000000
25715.000000,15364.000000,22297.000000,56499.000000
25694.000000,15399.000000,22341.000000,56499.000000
25723.000000,15402.000000,22321.000000,56468.000000
25697.000000,15377.000000,22345.000000,56476.000000
25672.000000,15386.000000,22323.000000,56455.000000
25683.000000,15372.000000,22275.000000,56460.000000
25689.000000,15363.000000,22306.000000,56426.000000
25689.000000,15358.000000,22285.000000,56446.000000
25727.000000,15322.000000,22266.000000,56458.000000
25751.000000,15390.000000,22304.000000,56457.000000
25719.000000,15391.000000,22297.000000,56463.000000
25693.000000,15401.000000,22242.000000,56470.000000
25688.000000,15352.000000,22280.000000,56484.000000
25700.000000,15400.000000,22237.000000,56470.000000
25718.000000,15361.000000,22247.000000,56395.000000
25712.000000,15346.000000,22227.000000,56411.000000
25673.000000,15382.000000,22260.000000,56432.000000
25687.000000,15350.000000,22248.000000,56431.000000
25670.000000,15312.000000,22239.000000,56452.000000
25662.000000,15291.000000,22189.000000,56408.000000
25605.000000,15314.000000,22175.000000,56426.000000
25656.000000,15291.000000,22143.000000,56408.000000
25634.000000,15294.000000,22166.000000,56388.000000
25627.000000,15330.000000,22163.000000,56423.000000
25618.000000,15358.000000,22159.000000,56365.000000
25551.000000,15322.000000,22157.000000,56420.000000
25543.000000,15304.000000,22105.000000,56393.000000
25533.000000,15298.000000,22129.000000,56403.000000
25580.000000,15232.000000,22118.000000,56370.000000
25542.000000,15248.000000,22078.000000,56336.000000
25549.000000,15213.000000,22099.000000,56348.000000
25529.000000,15235.000000,22090.000000,56378.000000
25555.000000,15198.000000,22072.000000,56337.000000
25462.000000,15213.000000,22059.000000,56326.000000
25464.000000,15206.000000,22046.000000,56378.000000
25481.000000,15185.000000,22004.000000,56325.000000
25453.000000,15203.000000,22035.000000,56328.000000
25464.000000,15221.000000,21993.000000,56363.000000
25476.000000,15213.000000,21995.000000,56354.000000
25459.000000,15195.000000,22034.000000,56316.000000
25408.000000,15148.000000,21998.000000,56332.000000
25431.000000,15127.000000,21985.000000,56335.000000
25466.000000,15201.000000,21956.000000,56313.000000
25460.000000,15196.000000,21939.000000,56315.000000
25437.000000,15123.000000,21969.000000,56278.000000
25415.000000,15138.000000,21971.000000,56305.000000
25433.000000,15164.000000,21936.000000,56301.000000
25424.000000,15188.000000,21899.000000,56276.000000
25443.000000,15154.000000,21923.000000,56277.000000
25454.000000,15176.000000,21934.000000,56326.000000
25421.000000,15148.000000,21899.000000,56296.000000
25423.000000,15163.000000,21911.000000,56276.000000
25451.000000,15118.000000,21910.000000,56289.000000
25392.000000,15150.000000,21906.000000,56280.000000
25442.000000,15137.000000,21928.000000,56264.000000
25409.000000,15158.000000,21908.000000,56290.000000
25403.000000,15144.000000,21894.000000,56288.000000
25407.000000,15126.000000,21895.000000,56268.000000
25412.000000,15091.000000,21859.000000,56265.000000
25422.000000,15086.000000,21897.000000,56246.000000
25388.000000,15087.000000,21890.000000,56256.000000
25389.000000,15070.000000,21898.000000,56248.000000
25346.000000,15104.000000,21837.000000,56273.000000
25334.000000,15071.000000,21836.000000,56262.000000
25318.000000,15064.000000,21846.000000,56256.000000
25360.000000,15133.000000,21856.000000,56250.000000
25359.000000,15074.000000,21852.000000,56227.000000
25354.000000,15035.000000,21832.000000,56205.000000
25313.000000,15091.000000,21802.000000,56214.000000
25289.000000,15065.000000,21818.000000,56180.000000
25272.000000,15063.000000,21787.000000,56213.000000
25236.000000,15009.000000,21741.000000,56189.000000
25257.000000,15045.000000,21746.000000,56181.000000
25174.000000,14998.000000,21689.000000,56190.000000
25204.000000,14977.000000,21701.000000,56143.000000
25169.000000,14943.000000,21638.000000,56151.000000
25135.000000,14988.000000,21630.000000,56120.000000
25131.000000,14975.000000,21608.000000,56137.000000
25126.000000,14926.000000,21624.000000,56120.000000
25113.000000,14945.000000,21553.000000,56130.000000
25112.000000,14911.000000,21569.000000,56073.000000
25089.000000,14913.000000,21524.000000,56105.000000
25086.000000,14918.000000,21536.000000,56055.000000
25067.000000,14926.000000,21504.000000,56061.000000
25064.000000,14952.000000,21496.000000,56052.000000
